F83,F71-ggregory@apache.org,F71-rgoers@apache.org,F71-carnold@apache.org,F74,F85,F73,F84,F146,F147,
40,1,0,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,0,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,0,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,1,0,8186,1,8968,10,8156,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,1,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
40,1,0,0,8186,1,8968,40,8186,8149,
5,0,1,0,8151,1,8968,5,8151,8149,
5,0,1,0,8151,1,8968,5,8151,8149,
5,0,1,0,8151,1,8968,5,8151,8149,
5,0,1,0,8151,1,8968,5,8151,8149,
5,0,1,0,8151,1,8968,5,8151,8149,
5,0,1,0,8151,1,8968,5,8151,8149,
5,0,1,0,8151,1,8968,5,8151,8149,
5,0,1,0,8151,1,8968,5,8151,8149,
5,0,1,0,8151,1,8968,5,8151,8149,
5,0,1,0,8151,1,8968,5,8151,8149,
40,1,1,0,8186,1,8968,9,8155,8149,
40,1,1,0,8186,1,8968,9,8155,8149,
40,1,1,0,8186,1,8968,9,8155,8149,
40,1,1,0,8186,1,8968,9,8155,8149,
40,1,1,0,8186,1,8968,9,8155,8149,
40,1,1,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,0,0,8186,1,8968,9,8155,8149,
40,1,1,0,8186,1,8968,9,8155,8149,
40,1,1,0,8186,1,8968,9,8155,8149,
