F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-Result,F16-Priority,F16-SMTPAppender,F16-PluginType,F16-Object,F16-NA,F16-Level,F16-void,F16-byte[],F16-List<PatternFormatter>,F16-int,F16-Appender,F16-boolean,F16-PasswordAuthentication,F16-String,F16-RFC5424Layout,F16-List<AvroFlumeEvent>,F16-PatternConverter,F3-RolloverStrategy,F3-NA,F3-Class,F3-PrintStream,F3-StringBuilder,F3-File,F3-Writer,F3-TestSocketServer,F3-byte[],F3-boolean,F3-LogEvent,F3-String,F3-long,F3-Plugin.EMPTY,F3-int,F3-Level,F3-OutputStream,F3-p.name().toLowerCase(),F3-Property[],F3-Locale,F7--,F7-&=,F7-++,F7-+=,F7-NA,F7-*,F7-+,F12-long,F12-LoggerConfig,F12-int,F12-ErrorType,F12-NA,F12-boolean,F12-PasswordAuthentication,F12-StackTracePackageElement,F12-JsonNode,F12-Hashtable<String String>,F12-String,F12-Level,F12-Element,F12-ClassLoader,F12-ConcurrentMap<String Logger>,F12-StatusLogger,F12-Configuration,F17-final,F17-static-final,F17-static,F17-NA,F2-StringBuilder,F2-FlumeEmbeddedAppenderTest,F2-ServerSocket,F2-NA,F2-Map<String String>,F2-ExecutorService,F2-Object,F2-String,F2-Future<InputStream>,F2-FlumeEmbeddedAgentTest,F2-PerformanceComparison,F2-ByteBuffer,F2-BufferedReader,F2-DebugDisabledPerformanceComparison,F2-ExtendedThreadInformation,F2-System,F2-OutputStream,F2-PerformanceRun,F2-File,F2-Throwable,F6-java.io.ByteArrayOutputStream,F6-org.apache.logging.log4j.message.FormattedMessage,F6-NA,F6-java.util.zip.ZipOutputStream,F6-java.io.FileOutputStream,F6-java.io.BufferedOutputStream,F6-java.io.FileInputStream,F6-java.util.concurrent.ConcurrentHashMap<java.lang.String org.apache.logging.log4j.core.Logger>,F6-java.io.PrintStream,F6-org.apache.logging.log4j.core.layout.PatternParser,F6-org.apache.logging.log4j.message.ParameterizedMessage,F6-java.io.DataInputStream,F6-java.io.ObjectInputStream,F6-org.apache.logging.log4j.message.Timer,F6-org.apache.logging.log4j.message.MessageFormatMessage,F6-org.apache.logging.log4j.core.net.PasswordAuthentication,F6-java.io.File,F6-java.lang.NullPointerException,F6-java.lang.StringBuilder,F6-java.io.BufferedReader,F13-private,F13-NA,F18-protected,F18-private,F18-NA,F18-public,F14-static,F14-static-final,F14-NA,F14-final,F1-delete,F1-NA,F1-close,F1-readLine,F1-substring,F1-get,F1-listFiles,F1-getConfiguration,F1-append,F1-printStackTrace,F1-writeToWriter,F1-getProperty,F1-error,F1-setLastModified,F1-put,F1-toUpperCase,F1-valueOf,F1-deleteFiles,F1-submit,F1-writeToStream,F5-java.util.AbstractMap,F5-java.lang.Object,F5-NA,F5-java.lang.Thread,F5-java.io.FilterOutputStream,F5-java.io.InputStream,F5-java.io.FilterInputStream,F5-java.io.Reader,F5-java.lang.RuntimeException,F5-java.lang.AbstractStringBuilder,F5-java.io.OutputStream,F5-java.util.zip.DeflaterOutputStream,F5-java.util.Dictionary,F9-lock,F9-id,F9-header,F9-index,F9-footer,F9-level,F9-config,F9-elapsed,F9-obj,F9-count,F9-size,F9-NA,F9-uuids,F9-message,F9-sb,F9-type,F9-state,F10-NA,F19-NA,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-String[],F4-boolean,F4-InputStream,F4-A,F4-File[],F4-Future,F4-ByteBuffer,F4-long,F4-Socket,F4-byte[],F4-Object,F4-void,F4-T[],F4-List,F4-StringBuilder,F4-String,F4-int,F4-Charset,F4-ConcurrentMap<String ConcurrentMap<String PluginType>>,F8-LoggerContext,F8-StructuredDataMessage,F8-AbstractLayout<T>,F8-Thread2,F8-Thread1,F8-BoundedQueue<E>,F8-NA,F8-StateSettingRunnable,F8-TestThread,F8-Priority,F8-FileWriterRunnable,F8-Worker,F11-high,F11-NA,F11-params,F11-node,F11-passwordAuthentication,F11-loader,F11-logger,F11-NANO_PER_MINUTE,F11-loggers,F11-level,F11-errorType,F11-intLevel,F11-loggerConfig,F11-config,F11-low,F11-name,F11-element,F11-compress,F11-NANO_PER_HOUR,F11-expireTime,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-ggregory@apache.org,F71-rgoers@apache.org,F71-carnold@apache.org,F74,F73,F84,F146,category
8967,org/apache/log4j,org/apache/log4j/BasicConfigurationFactory.java,964,true,0,3,1069,2,0,222,1,30,0.8709677419354839,34,19,0.5588235294117647,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,STYLE,0.04329896907216495,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,20,3,1,0.047337278106508875,0.0039447731755424065,0.0019723865877712033,1.0,0.38095238095238093,0.010253376713004043,0.4088397790055249,0.5041821014562035,0.0,0.0,0.15257731958762888,255.8121546961326,-0.75,0.0,0,38,22,8186,500,0.001216346290292434,0,221,279,721,0.040217393763094536,43,44,0,87,6,-1,6,0.05151716138349658,12,3157,0,2325,54,0,5536,832,0.09184798193205682,40,1,0,0,8186,8968,10,8156,close
8967,org/apache/log4j,org/apache/log4j/BasicConfigurationFactory.java,964,true,0,3,1069,2,9,222,1,30,0.8064516129032258,34,19,0.5588235294117647,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,PERFORMANCE,0.04742268041237113,SIC_INNER_SHOULD_BE_STATIC,18,2,0,0.047337278106508875,0.0039447731755424065,0.0,0.0,0.08695652173913043,0.006616257088846882,0.3229166666666667,0.41098182610946077,-0.43478260869565216,0.0,0.06391752577319587,310.8645833333333,-0.75,0.0,10,819,964,8967,500,0.001216346290292434,0,221,279,721,0.040217393763094536,43,44,0,87,6,-1,6,0.05151716138349658,12,3157,0,2325,54,0,5536,832,0.09184798193205682,40,1,1,0,8186,8968,10,8156,open
8794,org/apache/log4j,org/apache/log4j/Level.java,329,true,34,8,1069,1,8,222,11,30,0.6717557251908397,104,133,1.2788461538461537,0.14705882352941177,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,I18N,0.016494845360824743,DM_CONVERT_CASE,20,3,1,0.047337278106508875,0.0039447731755424065,0.0019723865877712033,1.0,0.5,0.125,0.37735849056603776,0.0022166154016159943,0.0,0.0,0.041237113402061855,148.8679245283019,-0.75,0.0,0,38,22,8186,500,5.005631335252158E-4,0,221,279,721,0.040217393763094536,136,317,50,503,6,-181,6,0.21768363527366622,12,3157,0,2325,54,0,5536,832,0.09184798193205682,40,1,0,0,8186,8968,10,8156,close
8794,org/apache/log4j,org/apache/log4j/Level.java,329,true,9,8,1069,1,8,222,2,30,0.851145038167939,104,133,1.2788461538461537,0.6666666666666666,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,STYLE,0.04329896907216495,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,18,2,1,0.047337278106508875,0.0039447731755424065,0.0019723865877712033,-1.0,0.38095238095238093,0.010253376713004043,0.4088397790055249,0.5041821014562035,0.0,0.0,0.15257731958762888,255.8121546961326,-0.75,0.0,5,819,964,8967,500,5.005631335252158E-4,0,221,279,721,0.040217393763094536,136,317,50,503,6,-181,6,0.21768363527366622,12,3157,0,2325,54,0,5536,832,0.09184798193205682,40,1,1,0,8186,8968,10,8156,open
8186,org/apache/log4j,org/apache/log4j/LevelTest.java,22,true,3,23,1069,2,8,222,1,30,0.7375886524822695,138,108,0.782608695652174,0.6666666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,STYLE,0.016494845360824743,BC_VACUOUS_INSTANCEOF,17,2,1,0.047337278106508875,0.029585798816568046,0.0019723865877712033,-1.0,0.0,0.0,0.4088397790055249,0.5041821014562035,-1.0,0.0,0.15257731958762888,255.8121546961326,-0.75,-1.0,6,819,964,8967,500,0.0013717974581400041,0,221,279,721,0.040217393763094536,496,253,0,749,17,243,17,0.0811478456956784,34,3157,0,2325,54,0,5536,832,0.09184798193205682,40,1,1,0,8186,8968,10,8156,open
8186,org/apache/log4j,org/apache/log4j/LevelTest.java,22,true,3,23,1069,2,8,222,1,30,0.6808510638297872,138,108,0.782608695652174,0.6666666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,STYLE,0.016494845360824743,BC_VACUOUS_INSTANCEOF,17,2,2,0.047337278106508875,0.029585798816568046,0.0039447731755424065,-1.0,0.0,0.0,0.4088397790055249,0.5041821014562035,-1.0,0.0,0.15257731958762888,255.8121546961326,-0.75,-1.0,6,819,964,8967,500,0.0013717974581400041,0,221,279,721,0.040217393763094536,496,253,0,749,17,243,17,0.0811478456956784,34,3157,0,2325,54,0,5536,832,0.09184798193205682,40,1,1,0,8186,8968,10,8156,open
8186,org/apache/log4j,org/apache/log4j/LevelTest.java,22,true,3,23,1069,2,8,222,1,30,0.5957446808510638,138,108,0.782608695652174,0.6666666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,STYLE,0.016494845360824743,BC_VACUOUS_INSTANCEOF,17,2,2,0.047337278106508875,0.029585798816568046,0.0039447731755424065,-1.0,0.0,0.0,0.4088397790055249,0.5041821014562035,-1.0,0.0,0.15257731958762888,255.8121546961326,-0.75,-1.0,6,819,964,8967,500,0.0013717974581400041,0,221,279,721,0.040217393763094536,496,253,0,749,17,243,17,0.0811478456956784,34,3157,0,2325,54,0,5536,832,0.09184798193205682,40,1,1,0,8186,8968,10,8156,open
8186,org/apache/log4j,org/apache/log4j/LevelTest.java,22,true,3,23,1069,2,8,222,1,30,0.5673758865248227,138,108,0.782608695652174,0.6666666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,STYLE,0.016494845360824743,BC_VACUOUS_INSTANCEOF,17,2,2,0.047337278106508875,0.029585798816568046,0.0039447731755424065,-1.0,0.0,0.0,0.4088397790055249,0.5041821014562035,-1.0,0.0,0.15257731958762888,255.8121546961326,-0.75,-1.0,6,819,964,8967,500,0.0013717974581400041,0,221,279,721,0.040217393763094536,496,253,0,749,17,243,17,0.0811478456956784,34,3157,0,2325,54,0,5536,832,0.09184798193205682,40,1,1,0,8186,8968,10,8156,open
8186,org/apache/log4j,org/apache/log4j/LevelTest.java,22,true,3,23,1069,2,8,222,1,30,0.6524822695035462,138,108,0.782608695652174,0.6666666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,STYLE,0.016494845360824743,BC_VACUOUS_INSTANCEOF,17,2,2,0.047337278106508875,0.029585798816568046,0.0039447731755424065,-1.0,0.0,0.0,0.4088397790055249,0.5041821014562035,-1.0,0.0,0.15257731958762888,255.8121546961326,-0.75,-1.0,6,819,964,8967,500,0.0013717974581400041,0,221,279,721,0.040217393763094536,496,253,0,749,17,243,17,0.0811478456956784,34,3157,0,2325,54,0,5536,832,0.09184798193205682,40,1,1,0,8186,8968,10,8156,open
8186,org/apache/log4j,org/apache/log4j/LevelTest.java,22,true,3,23,1069,2,8,222,1,30,0.5390070921985816,138,108,0.782608695652174,0.6666666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,STYLE,0.016494845360824743,BC_VACUOUS_INSTANCEOF,17,2,1,0.047337278106508875,0.029585798816568046,0.0019723865877712033,-1.0,0.0,0.0,0.4088397790055249,0.5041821014562035,-1.0,0.0,0.15257731958762888,255.8121546961326,-0.75,-1.0,6,819,964,8967,500,0.0013717974581400041,0,221,279,721,0.040217393763094536,496,253,0,749,17,243,17,0.0811478456956784,34,3157,0,2325,54,0,5536,832,0.09184798193205682,40,1,1,0,8186,8968,10,8156,open
