F72,F54,F53,F55,F25,F26,
8967,org/apache/log4j,apache,org/apache/log4j/BasicConfigurationFactory.java,1153,true,
8967,org/apache/log4j,apache,org/apache/log4j/BasicConfigurationFactory.java,1153,true,
8794,org/apache/log4j,apache,org/apache/log4j/Level.java,518,true,
8794,org/apache/log4j,apache,org/apache/log4j/Level.java,518,true,
8186,org/apache/log4j,apache,org/apache/log4j/LevelTest.java,211,true,
8186,org/apache/log4j,apache,org/apache/log4j/LevelTest.java,211,true,
8186,org/apache/log4j,apache,org/apache/log4j/LevelTest.java,211,true,
8186,org/apache/log4j,apache,org/apache/log4j/LevelTest.java,211,true,
8186,org/apache/log4j,apache,org/apache/log4j/LevelTest.java,211,true,
8186,org/apache/log4j,apache,org/apache/log4j/LevelTest.java,211,true,
8186,org/apache/log4j,apache,org/apache/log4j/LevelTest.java,211,true,
8186,org/apache/log4j,apache,org/apache/log4j/LevelTest.java,211,true,
8186,org/apache/log4j,apache,org/apache/log4j/LevelTest.java,211,true,
8186,org/apache/log4j,apache,org/apache/log4j/LevelTest.java,211,true,
8186,org/apache/log4j,apache,org/apache/log4j/LevelTest.java,211,true,
8186,org/apache/log4j,apache,org/apache/log4j/LevelTest.java,211,true,
8186,org/apache/log4j,apache,org/apache/log4j/LevelTest.java,211,true,
8186,org/apache/log4j,apache,org/apache/log4j/LevelTest.java,211,true,
8186,org/apache/log4j,apache,org/apache/log4j/LoggerTest.java,211,true,
7899,org/apache/log4j,apache,org/apache/log4j/LoggingTest.java,65,true,
7899,org/apache/log4j,apache,org/apache/log4j/LoggingTest.java,65,true,
8967,org/apache/log4j,apache,org/apache/log4j/Priority.java,1153,true,
8967,org/apache/log4j,apache,org/apache/log4j/Priority.java,1153,true,
8967,org/apache/log4j/util,apache,org/apache/log4j/util/SerializationTestHelper.java,1153,true,
8967,org/apache/log4j/util,apache,org/apache/log4j/util/SerializationTestHelper.java,1153,true,
8967,org/apache/log4j/util,apache,org/apache/log4j/util/SerializationTestHelper.java,1153,true,
8967,org/apache/log4j/util,apache,org/apache/log4j/util/SerializationTestHelper.java,1153,true,
8151,org/apache/logging/dumbster/smtp,apache,org/apache/logging/dumbster/smtp/SimpleSmtpServer.java,191,true,
8151,org/apache/logging/dumbster/smtp,apache,org/apache/logging/dumbster/smtp/SimpleSmtpServer.java,191,true,
8151,org/apache/logging/dumbster/smtp,apache,org/apache/logging/dumbster/smtp/SimpleSmtpServer.java,191,true,
8151,org/apache/logging/dumbster/smtp,apache,org/apache/logging/dumbster/smtp/SimpleSmtpServer.java,191,true,
8151,org/apache/logging/dumbster/smtp,apache,org/apache/logging/dumbster/smtp/SimpleSmtpServer.java,191,true,
8151,org/apache/logging/dumbster/smtp,apache,org/apache/logging/dumbster/smtp/SimpleSmtpServer.java,191,true,
8151,org/apache/logging/dumbster/smtp,apache,org/apache/logging/dumbster/smtp/SimpleSmtpServer.java,191,true,
8151,org/apache/logging/dumbster/smtp,apache,org/apache/logging/dumbster/smtp/SimpleSmtpServer.java,191,true,
8151,org/apache/logging/dumbster/smtp,apache,org/apache/logging/dumbster/smtp/SmtpRequest.java,191,true,
8647,org/apache/logging/log4j,apache,org/apache/logging/log4j/AbstractLoggerTest.java,287,true,
8647,org/apache/logging/log4j,apache,org/apache/logging/log4j/AbstractLoggerTest.java,287,true,
8647,org/apache/logging/log4j,apache,org/apache/logging/log4j/AbstractLoggerTest.java,287,true,
8647,org/apache/logging/log4j,apache,org/apache/logging/log4j/AbstractLoggerTest.java,287,true,
8647,org/apache/logging/log4j,apache,org/apache/logging/log4j/AbstractLoggerTest.java,287,true,
8647,org/apache/logging/log4j,apache,org/apache/logging/log4j/AbstractLoggerTest.java,287,true,
8647,org/apache/logging/log4j,apache,org/apache/logging/log4j/AbstractLoggerTest.java,287,true,
8647,org/apache/logging/log4j,apache,org/apache/logging/log4j/AbstractLoggerTest.java,287,true,
8647,org/apache/logging/log4j,apache,org/apache/logging/log4j/AbstractLoggerTest.java,287,true,
8647,org/apache/logging/log4j,apache,org/apache/logging/log4j/AbstractLoggerTest.java,287,true,
8647,org/apache/logging/log4j,apache,org/apache/logging/log4j/AbstractLoggerTest.java,287,true,
8647,org/apache/logging/log4j,apache,org/apache/logging/log4j/AbstractLoggerTest.java,287,true,
8776,org/apache/logging/log4j,apache,org/apache/logging/log4j/DebugDisabledPerformanceComparison.java,435,true,
8776,org/apache/logging/log4j,apache,org/apache/logging/log4j/DebugDisabledPerformanceComparison.java,435,true,
8776,org/apache/logging/log4j,apache,org/apache/logging/log4j/DebugDisabledPerformanceComparison.java,435,true,
8776,org/apache/logging/log4j,apache,org/apache/logging/log4j/DebugDisabledPerformanceComparison.java,435,true,
8776,org/apache/logging/log4j,apache,org/apache/logging/log4j/DebugDisabledPerformanceComparison.java,435,true,
8776,org/apache/logging/log4j,apache,org/apache/logging/log4j/DebugDisabledPerformanceComparison.java,435,true,
8776,org/apache/logging/log4j,apache,org/apache/logging/log4j/DebugDisabledPerformanceComparison.java,435,true,
