F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,
0,3,1103,2,0,229,1,32,0.8709677419354839,34,19,0.5588235294117647,1.0,0,1,
0,3,1103,2,9,229,1,32,0.8064516129032258,34,19,0.5588235294117647,1.0,0,1,
34,8,1103,1,8,229,11,32,0.6717557251908397,104,133,1.2788461538461537,0.14705882352941177,0,1,
9,8,1103,1,8,229,2,32,0.851145038167939,104,133,1.2788461538461537,0.6666666666666666,4,1,
3,23,1103,2,8,229,1,32,0.7412587412587412,139,110,0.7913669064748201,0.6666666666666666,0,1,
3,23,1103,2,8,229,1,32,0.6853146853146853,139,110,0.7913669064748201,0.6666666666666666,0,1,
3,23,1103,2,8,229,1,32,0.6013986013986014,139,110,0.7913669064748201,0.6666666666666666,0,1,
3,23,1103,2,8,229,1,32,0.5734265734265734,139,110,0.7913669064748201,0.6666666666666666,0,1,
3,23,1103,2,8,229,1,32,0.6573426573426573,139,110,0.7913669064748201,0.6666666666666666,0,1,
3,23,1103,2,8,229,1,32,0.5454545454545454,139,110,0.7913669064748201,0.6666666666666666,0,1,
3,23,1103,2,8,229,1,32,0.7132867132867133,139,110,0.7913669064748201,0.6666666666666666,0,1,
3,23,1103,2,8,229,1,32,0.6293706293706294,139,110,0.7913669064748201,0.6666666666666666,1,1,
3,23,1103,2,6,229,1,32,0.6905594405594405,139,110,0.7913669064748201,0.8333333333333334,0,0,
3,23,1103,2,6,229,1,32,0.722027972027972,139,110,0.7913669064748201,0.8333333333333334,0,0,
3,23,1103,2,6,229,1,32,0.45104895104895104,139,110,0.7913669064748201,0.8333333333333334,0,0,
3,23,1103,2,6,229,1,32,0.8968531468531469,139,110,0.7913669064748201,0.8333333333333334,0,0,
8,23,1103,2,5,229,1,32,1.0314685314685315,139,110,0.7913669064748201,0.4166666666666667,0,0,
3,23,1103,2,6,229,1,32,1.4702797202797202,139,110,0.7913669064748201,0.8333333333333334,0,0,
6,14,1103,3,7,229,1,32,0.13725490196078433,380,51,0.13421052631578947,0.6666666666666666,1,0,
3,4,1103,1,8,229,1,32,0.8333333333333334,38,19,0.5,0.6666666666666666,0,1,
0,4,1103,1,8,229,1,32,0.8333333333333334,38,19,0.5,1.0,0,1,
3,13,1103,1,8,229,1,32,0.9453781512605042,80,135,1.6875,0.6666666666666666,0,1,
3,13,1103,1,8,229,1,32,0.9915966386554622,80,135,1.6875,0.6666666666666666,0,1,
8,1,1103,1,8,229,1,32,0.813953488372093,17,19,1.1176470588235294,0.5,5,1,
66,5,57,1,12,5,19,1,0.7774193548387097,77,60,0.7792207792207793,0.09848484848484848,9,0,
66,5,57,1,12,5,19,1,0.9580645161290322,77,60,0.7792207792207793,0.4318181818181818,9,0,
33,5,57,1,12,5,10,1,0.7741935483870968,77,60,0.7792207792207793,0.18181818181818182,9,1,
33,5,57,1,12,5,10,1,0.9548387096774194,77,60,0.7792207792207793,0.8484848484848485,9,1,
46,10,426,1,16,31,5,6,0.38267148014440433,129,116,0.8992248062015504,0.5217391304347826,0,1,
46,10,426,1,16,31,5,6,0.3862815884476534,129,116,0.8992248062015504,0.5434782608695652,0,1,
46,10,426,1,20,31,5,6,0.3176895306859206,129,116,0.8992248062015504,0.21739130434782608,0,1,
46,10,426,1,20,31,5,6,0.3574007220216607,129,116,0.8992248062015504,0.41304347826086957,0,1,
46,10,426,1,0,31,5,6,0.4368231046931408,129,116,0.8992248062015504,1.0,0,1,
8,10,426,1,12,31,1,6,0.5523465703971119,129,116,0.8992248062015504,0.5,0,1,
13,10,426,1,16,31,1,6,0.9711191335740073,129,116,0.8992248062015504,0.5384615384615384,0,1,
13,10,426,1,16,31,1,6,0.9711191335740073,129,116,0.8992248062015504,0.5384615384615384,0,1,
71,4,426,1,12,31,22,6,0.8217391304347826,149,73,0.4899328859060403,0.43661971830985913,37,1,
39,18,2165,2,8,334,1,44,0.2842857142857143,632,19,0.030063291139240507,0.05128205128205128,0,1,
39,18,2165,2,8,334,1,44,0.3442857142857143,632,19,0.030063291139240507,0.05128205128205128,0,1,
39,18,2165,2,8,334,1,44,0.4042857142857143,632,19,0.030063291139240507,0.05128205128205128,0,1,
39,18,2165,2,8,334,1,44,0.4642857142857143,632,19,0.030063291139240507,0.05128205128205128,0,1,
39,18,2165,2,8,334,1,44,0.5242857142857142,632,19,0.030063291139240507,0.05128205128205128,0,1,
39,18,2165,2,8,334,1,44,0.5842857142857143,632,19,0.030063291139240507,0.05128205128205128,0,1,
39,18,2165,2,8,334,1,44,0.6442857142857142,632,19,0.030063291139240507,0.05128205128205128,0,1,
39,18,2165,2,8,334,1,44,0.7042857142857143,632,19,0.030063291139240507,0.05128205128205128,0,1,
39,18,2165,2,8,334,1,44,0.7642857142857142,632,19,0.030063291139240507,0.05128205128205128,0,1,
39,18,2165,2,8,334,1,44,0.8242857142857143,632,19,0.030063291139240507,0.05128205128205128,0,1,
39,18,2165,2,8,334,1,44,0.8842857142857142,632,19,0.030063291139240507,0.05128205128205128,0,1,
39,18,2165,2,8,334,1,44,0.9442857142857143,632,19,0.030063291139240507,0.05128205128205128,9,1,
8,17,2165,1,8,334,2,44,0.6404494382022472,207,21,0.10144927536231885,0.25,0,1,
8,17,2165,1,8,334,2,44,0.5692883895131086,207,21,0.10144927536231885,0.25,0,1,
8,17,2165,1,8,334,2,44,0.602996254681648,207,21,0.10144927536231885,0.25,0,1,
6,17,2165,1,8,334,1,44,0.9662921348314607,207,21,0.10144927536231885,0.5,0,1,
3,17,2165,1,8,334,1,44,0.9887640449438202,207,21,0.10144927536231885,0.6666666666666666,0,1,
21,17,2165,1,8,334,1,44,0.5056179775280899,207,21,0.10144927536231885,0.38095238095238093,21,1,
8,17,2165,1,8,334,2,44,0.6816479400749064,207,21,0.10144927536231885,0.25,0,1,
8,17,2165,1,8,334,2,44,0.7865168539325843,207,21,0.10144927536231885,0.25,0,1,
8,17,2165,1,8,334,2,44,0.8202247191011236,207,21,0.10144927536231885,0.25,0,1,
8,17,2165,1,8,334,2,44,0.6404494382022472,207,21,0.10144927536231885,0.25,0,1,
8,17,2165,1,8,334,2,44,0.5692883895131086,207,21,0.10144927536231885,0.25,0,1,
8,17,2165,1,8,334,2,44,0.7153558052434457,207,21,0.10144927536231885,0.25,0,1,
8,17,2165,1,8,334,2,44,0.7490636704119851,207,21,0.10144927536231885,0.25,0,1,
8,17,2165,1,8,334,2,44,0.602996254681648,207,21,0.10144927536231885,0.25,0,1,
9,17,2165,1,8,334,2,44,0.9250936329588015,207,21,0.10144927536231885,0.2222222222222222,0,1,
8,17,2165,1,8,334,2,44,0.8913857677902621,207,21,0.10144927536231885,0.25,0,1,
8,17,2165,1,8,334,2,44,0.8576779026217228,207,21,0.10144927536231885,0.25,0,1,
42,17,2165,1,8,334,1,44,0.4850187265917603,207,21,0.10144927536231885,0.05952380952380952,21,0,
42,17,2165,1,8,334,1,44,0.5074906367041199,207,21,0.10144927536231885,0.20238095238095238,21,0,
42,17,2165,1,8,334,1,44,0.4887640449438202,207,21,0.10144927536231885,0.08333333333333333,21,0,
21,17,2165,1,8,334,1,44,0.5056179775280899,207,21,0.10144927536231885,0.38095238095238093,21,1,
3,2,2165,1,6,334,1,44,0.6637931034482759,31,19,0.6129032258064516,0.8333333333333334,0,0,
8,6,2165,2,8,334,2,44,0.8145695364238411,109,20,0.1834862385321101,0.25,0,1,
8,6,2165,2,8,334,2,44,0.7483443708609272,109,20,0.1834862385321101,0.25,3,1,
0,1,2165,3,4,334,1,44,0.6491228070175439,29,19,0.6551724137931034,1.0,0,1,
9,1,2165,1,8,334,1,44,0.8333333333333334,31,16,0.5161290322580645,0.3333333333333333,9,1,
9,35,2165,4,4,334,1,44,0.28378378378378377,287,39,0.13588850174216027,1.0,12,1,
9,35,2165,4,4,334,1,44,0.28378378378378377,287,39,0.13588850174216027,1.0,12,1,
6,12,2165,1,8,334,1,44,0.9533678756476683,144,23,0.1597222222222222,0.5,0,1,
3,12,2165,1,8,334,1,44,0.9844559585492227,144,23,0.1597222222222222,0.6666666666666666,0,1,
21,12,2165,1,8,334,1,44,0.5699481865284974,144,23,0.1597222222222222,0.38095238095238093,21,1,
8,12,2165,1,8,334,2,44,0.6528497409326425,144,23,0.1597222222222222,0.25,0,1,
8,12,2165,1,8,334,2,44,0.7512953367875648,144,23,0.1597222222222222,0.25,0,1,
8,12,2165,1,8,334,2,44,0.6994818652849741,144,23,0.1597222222222222,0.25,0,1,
9,12,2165,1,8,334,2,44,0.8963730569948186,144,23,0.1597222222222222,0.2222222222222222,0,1,
8,12,2165,1,8,334,2,44,0.8497409326424871,144,23,0.1597222222222222,0.25,0,1,
8,12,2165,1,8,334,2,44,0.8031088082901554,144,23,0.1597222222222222,0.25,0,1,
42,12,2165,1,8,334,1,44,0.5414507772020726,144,23,0.1597222222222222,0.05952380952380952,21,0,
42,12,2165,1,8,334,1,44,0.572538860103627,144,23,0.1597222222222222,0.20238095238095238,21,0,
42,12,2165,1,8,334,1,44,0.5466321243523317,144,23,0.1597222222222222,0.08333333333333333,21,0,
21,12,2165,1,8,334,1,44,0.5699481865284974,144,23,0.1597222222222222,0.38095238095238093,21,1,
6,10,2165,1,8,334,1,44,0.9357142857142857,97,25,0.25773195876288657,0.5,0,1,
3,10,2165,1,8,334,1,44,0.9785714285714285,97,25,0.25773195876288657,0.6666666666666666,0,1,
21,10,2165,1,8,334,1,44,0.5428571428571428,97,25,0.25773195876288657,0.38095238095238093,21,1,
9,10,2165,1,8,334,2,44,0.8571428571428571,97,25,0.25773195876288657,0.2222222222222222,0,1,
8,10,2165,1,8,334,2,44,0.7928571428571428,97,25,0.25773195876288657,0.25,0,1,
8,10,2165,1,8,334,2,44,0.7285714285714285,97,25,0.25773195876288657,0.25,0,1,
42,10,2165,1,8,334,1,44,0.5035714285714286,97,25,0.25773195876288657,0.05952380952380952,21,0,
42,10,2165,1,8,334,1,44,0.5464285714285714,97,25,0.25773195876288657,0.20238095238095238,21,0,
42,10,2165,1,8,334,1,44,0.5107142857142857,97,25,0.25773195876288657,0.08333333333333333,21,0,
21,10,2165,1,8,334,1,44,0.5428571428571428,97,25,0.25773195876288657,0.38095238095238093,21,1,
28,10,2165,1,12,334,5,44,0.7155963302752294,73,20,0.273972602739726,0.8928571428571429,21,1,
28,10,2165,1,12,334,5,44,0.7064220183486238,73,20,0.273972602739726,0.8571428571428571,21,1,
0,20,2165,4,0,334,1,44,0.5037220843672456,155,209,1.3483870967741935,1.0,0,1,
0,12,2165,2,10,334,1,44,0.9230769230769231,149,21,0.14093959731543623,1.0,0,1,
3,3,1497,2,8,189,1,42,0.6551724137931034,30,19,0.6333333333333333,0.6666666666666666,0,1,
0,3,1497,2,0,189,1,42,0.9310344827586207,30,19,0.6333333333333333,1.0,0,1,
0,3,1497,2,9,189,1,42,0.8620689655172413,30,19,0.6333333333333333,1.0,0,1,
13,4,1497,1,8,189,4,42,0.8863636363636364,58,19,0.3275862068965517,0.38461538461538464,0,1,
11,4,1497,1,16,189,3,42,0.7386363636363636,58,19,0.3275862068965517,0.45454545454545453,8,1,
11,4,1497,1,8,189,3,42,0.7045454545454546,58,19,0.3275862068965517,0.18181818181818182,8,1,
14,2,1497,1,8,189,1,42,0.9295774647887324,43,19,0.4418604651162791,0.7857142857142857,0,1,
0,2,1497,1,4,189,1,42,0.676056338028169,43,19,0.4418604651162791,1.0,0,1,
25,1,1497,1,12,189,1,42,0.9253731343283582,41,19,0.4634146341463415,0.68,21,1,
25,1,1497,1,12,189,1,42,0.8507462686567164,41,19,0.4634146341463415,0.68,21,1,
8,21,1497,2,0,189,2,42,0.2857142857142857,212,103,0.4858490566037736,1.0,0,0,
0,21,1497,2,9,189,1,42,0.7254901960784313,212,103,0.4858490566037736,1.0,0,1,
