F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,
25,2,STYLE,0.03758389261744966,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,20,3,1,0.03184713375796178,0.0025477707006369425,0.0012738853503184713,
25,2,PERFORMANCE,0.03355704697986577,SIC_INNER_SHOULD_BE_STATIC,18,2,0,0.03184713375796178,0.0025477707006369425,0.0,
25,2,I18N,0.01476510067114094,DM_CONVERT_CASE,20,3,1,0.03184713375796178,0.0025477707006369425,0.0012738853503184713,
25,2,STYLE,0.03758389261744966,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,18,2,1,0.03184713375796178,0.0025477707006369425,0.0012738853503184713,
25,14,STYLE,0.012080536912751677,BC_VACUOUS_INSTANCEOF,17,2,1,0.03184713375796178,0.017834394904458598,0.0012738853503184713,
25,14,STYLE,0.012080536912751677,BC_VACUOUS_INSTANCEOF,17,2,2,0.03184713375796178,0.017834394904458598,0.0025477707006369425,
25,14,STYLE,0.012080536912751677,BC_VACUOUS_INSTANCEOF,17,2,2,0.03184713375796178,0.017834394904458598,0.0025477707006369425,
25,14,STYLE,0.012080536912751677,BC_VACUOUS_INSTANCEOF,17,2,2,0.03184713375796178,0.017834394904458598,0.0025477707006369425,
25,14,STYLE,0.012080536912751677,BC_VACUOUS_INSTANCEOF,17,2,2,0.03184713375796178,0.017834394904458598,0.0025477707006369425,
25,14,STYLE,0.012080536912751677,BC_VACUOUS_INSTANCEOF,17,2,1,0.03184713375796178,0.017834394904458598,0.0012738853503184713,
25,14,STYLE,0.012080536912751677,BC_VACUOUS_INSTANCEOF,17,2,2,0.03184713375796178,0.017834394904458598,0.0025477707006369425,
25,14,STYLE,0.012080536912751677,BC_VACUOUS_INSTANCEOF,17,2,2,0.03184713375796178,0.017834394904458598,0.0025477707006369425,
25,14,BAD_PRACTICE,0.010738255033557046,NM_CONFUSING,19,3,1,0.03184713375796178,0.017834394904458598,0.0012738853503184713,
25,14,BAD_PRACTICE,0.010738255033557046,NM_CONFUSING,19,3,1,0.03184713375796178,0.017834394904458598,0.0012738853503184713,
25,14,BAD_PRACTICE,0.010738255033557046,NM_CONFUSING,19,3,1,0.03184713375796178,0.017834394904458598,0.0012738853503184713,
25,14,BAD_PRACTICE,0.010738255033557046,NM_CONFUSING,19,3,1,0.03184713375796178,0.017834394904458598,0.0012738853503184713,
25,14,BAD_PRACTICE,0.010738255033557046,NM_CONFUSING,19,3,1,0.03184713375796178,0.017834394904458598,0.0012738853503184713,
25,14,BAD_PRACTICE,0.010738255033557046,NM_CONFUSING,19,3,1,0.03184713375796178,0.017834394904458598,0.0012738853503184713,
25,1,BAD_PRACTICE,0.010738255033557046,NM_CONFUSING,19,3,0,0.03184713375796178,0.0012738853503184713,6.369426751592356E-4,
25,3,STYLE,0.06040268456375839,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,17,2,1,0.03184713375796178,0.003821656050955414,0.0012738853503184713,
25,3,PERFORMANCE,0.03087248322147651,URF_UNREAD_FIELD,20,3,0,0.03184713375796178,0.003821656050955414,0.0,
25,2,STYLE,0.0026845637583892616,BC_UNCONFIRMED_CAST,20,3,2,0.03184713375796178,0.0025477707006369425,0.0025477707006369425,
25,2,STYLE,0.0026845637583892616,BC_UNCONFIRMED_CAST,20,3,2,0.03184713375796178,0.0025477707006369425,0.0025477707006369425,
25,1,PERFORMANCE,0.0013422818791946308,DM_STRING_CTOR,18,2,1,0.03184713375796178,0.0012738853503184713,0.0012738853503184713,
4,4,EXPERIMENTAL,0.020134228187919462,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,20,2,4,0.005095541401273885,0.005095541401273885,0.005095541401273885,
4,4,EXPERIMENTAL,0.020134228187919462,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,20,2,4,0.005095541401273885,0.005095541401273885,0.005095541401273885,
4,4,BAD_PRACTICE,0.036241610738255034,OS_OPEN_STREAM_EXCEPTION_PATH,19,3,4,0.005095541401273885,0.005095541401273885,0.005095541401273885,
4,4,BAD_PRACTICE,0.036241610738255034,OS_OPEN_STREAM_EXCEPTION_PATH,19,3,4,0.005095541401273885,0.005095541401273885,0.005095541401273885,
9,8,I18N,0.11275167785234899,DM_DEFAULT_ENCODING,19,1,5,0.011464968152866241,0.01019108280254777,0.006369426751592357,
9,8,I18N,0.11275167785234899,DM_DEFAULT_ENCODING,19,1,5,0.011464968152866241,0.01019108280254777,0.006369426751592357,
9,8,MT_CORRECTNESS,0.0013422818791946308,NN_NAKED_NOTIFY,14,2,5,0.011464968152866241,0.01019108280254777,0.006369426751592357,
9,8,STYLE,0.004026845637583893,RCN_REDUNDANT_NULLCHECK_OF_NULL_VALUE,18,2,5,0.011464968152866241,0.01019108280254777,0.006369426751592357,
9,8,STYLE,0.06040268456375839,REC_CATCH_EXCEPTION,20,3,5,0.011464968152866241,0.01019108280254777,0.006369426751592357,
9,8,STYLE,0.028187919463087248,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,20,3,1,0.011464968152866241,0.01019108280254777,0.0012738853503184713,
9,8,MT_CORRECTNESS,0.0026845637583892616,UW_UNCOND_WAIT,14,2,2,0.011464968152866241,0.01019108280254777,0.0025477707006369425,
9,8,MT_CORRECTNESS,0.004026845637583893,WA_NOT_IN_LOOP,14,2,2,0.011464968152866241,0.01019108280254777,0.0025477707006369425,
9,1,I18N,0.01476510067114094,DM_CONVERT_CASE,20,3,1,0.011464968152866241,0.0012738853503184713,0.0012738853503184713,
69,12,STYLE,0.06040268456375839,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,17,2,2,0.08789808917197452,0.015286624203821656,0.0025477707006369425,
69,12,STYLE,0.06040268456375839,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,17,2,2,0.08789808917197452,0.015286624203821656,0.0025477707006369425,
69,12,STYLE,0.06040268456375839,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,17,2,1,0.08789808917197452,0.015286624203821656,0.0012738853503184713,
69,12,STYLE,0.06040268456375839,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,17,2,2,0.08789808917197452,0.015286624203821656,0.0025477707006369425,
69,12,STYLE,0.06040268456375839,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,17,2,1,0.08789808917197452,0.015286624203821656,0.0012738853503184713,
69,12,STYLE,0.06040268456375839,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,17,2,1,0.08789808917197452,0.015286624203821656,0.0012738853503184713,
69,12,STYLE,0.06040268456375839,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,17,2,1,0.08789808917197452,0.015286624203821656,0.0012738853503184713,
69,12,STYLE,0.06040268456375839,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,17,2,1,0.08789808917197452,0.015286624203821656,0.0012738853503184713,
69,12,STYLE,0.06040268456375839,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,17,2,1,0.08789808917197452,0.015286624203821656,0.0012738853503184713,
69,12,STYLE,0.06040268456375839,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,17,2,1,0.08789808917197452,0.015286624203821656,0.0012738853503184713,
69,12,STYLE,0.06040268456375839,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,17,2,1,0.08789808917197452,0.015286624203821656,0.0012738853503184713,
69,12,STYLE,0.06040268456375839,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,17,2,2,0.08789808917197452,0.015286624203821656,0.0025477707006369425,
