F83,F71-mattsicker@unknown,F71-sdeboy@apache.org,F71-bbrouwer@unknown,F71-ggregory@apache.org,F71-rpopma@unknown,F71-rgoers@apache.org,F71-carnold@apache.org,F71-nickwilliams@unknown,F74,F85,F73,F84,F146,F147,
80,1,0,0,1,1,1,0,0,6055,1,8968,31,6006,5978,
558,0,1,0,1,0,0,0,0,6533,1,8968,31,6006,5978,
558,0,1,0,1,0,1,0,0,6533,1,8968,31,6006,5978,
450,0,0,0,1,0,1,0,0,6425,1,8968,31,6006,5978,
450,0,0,0,1,0,1,0,0,6425,1,8968,31,6006,5978,
450,0,0,0,1,0,1,0,0,6425,1,8968,31,6006,5978,
450,0,0,0,1,0,1,0,0,6425,1,8968,31,6006,5978,
450,0,0,0,1,0,1,0,0,6425,1,8968,31,6006,5978,
450,0,0,0,1,0,1,0,0,6425,1,8968,31,6006,5978,
450,0,0,0,1,0,1,0,0,6425,1,8968,31,6006,5978,
450,0,0,0,1,0,1,0,0,6425,1,8968,31,6006,5978,
450,0,0,0,1,0,1,0,0,6425,1,8968,31,6006,5978,
450,0,0,0,1,0,1,0,0,6425,1,8968,31,6006,5978,
450,0,0,0,1,0,1,0,0,6425,1,8968,31,6006,5978,
450,0,0,0,1,0,1,0,0,6425,1,8968,31,6006,5978,
450,0,0,0,1,0,1,0,0,6425,1,8968,31,6006,5978,
450,0,0,0,1,0,1,0,0,6425,1,8968,31,6006,5978,
220,1,0,0,1,1,1,0,1,6195,1,8968,31,6006,5978,
450,0,0,0,1,1,1,0,0,6425,1,8968,31,6006,5978,
450,0,0,0,1,1,1,0,0,6425,1,8968,31,6006,5978,
1416,0,0,0,1,0,1,0,1,7392,1,8968,31,6006,5978,
1416,0,0,0,1,0,1,0,1,7392,1,8968,31,6006,5978,
31,0,0,0,1,0,0,0,0,6006,1,8968,31,6006,5978,
450,0,0,0,1,0,0,0,0,6425,1,8968,450,6425,5978,
450,0,0,0,1,0,1,0,0,6425,1,8968,450,6425,5978,
450,0,0,0,1,0,0,0,0,6425,1,8968,450,6425,5978,
450,0,0,0,1,0,0,0,0,6425,1,8968,450,6425,5978,
555,0,0,0,1,0,0,0,0,6530,1,8968,450,6425,5978,
553,0,1,0,1,1,1,0,0,6528,1,8968,553,6528,5978,
553,0,1,0,1,1,1,0,0,6528,1,8968,553,6528,5978,
553,0,1,0,1,1,1,0,0,6528,1,8968,553,6528,5978,
553,0,1,0,1,1,1,0,0,6528,1,8968,553,6528,5978,
553,0,1,0,1,1,1,0,0,6528,1,8968,553,6528,5978,
553,0,1,0,1,1,1,0,0,6528,1,8968,553,6528,5978,
553,0,1,0,1,1,1,0,0,6528,1,8968,553,6528,5978,
553,0,1,0,1,1,1,0,0,6528,1,8968,553,6528,5978,
557,0,0,0,1,0,0,0,0,6532,1,8968,553,6528,5978,
133,0,0,0,1,1,1,0,1,6108,1,8968,25,6000,5978,
133,0,0,0,1,1,1,0,1,6108,1,8968,25,6000,5978,
133,0,0,0,1,1,1,0,1,6108,1,8968,25,6000,5978,
133,0,0,0,1,1,1,0,1,6108,1,8968,25,6000,5978,
133,0,0,0,1,1,1,0,1,6108,1,8968,25,6000,5978,
133,0,0,0,1,1,1,0,1,6108,1,8968,25,6000,5978,
133,0,0,0,1,1,1,0,1,6108,1,8968,25,6000,5978,
133,0,0,0,1,1,1,0,1,6108,1,8968,25,6000,5978,
133,0,0,0,1,1,1,0,1,6108,1,8968,25,6000,5978,
133,0,0,0,1,1,1,0,1,6108,1,8968,25,6000,5978,
133,0,0,0,1,1,1,0,1,6108,1,8968,25,6000,5978,
133,0,0,0,1,1,1,0,1,6108,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,0,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,0,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,0,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,1,0,0,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,1,0,0,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,0,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,0,6464,1,8968,25,6000,5978,
489,1,0,0,1,0,0,0,0,6464,1,8968,25,6000,5978,
