F61,F77,F88,F70,
15,2990,1509,8967,
4,2209,567,8186,
9,2990,1509,8967,
11,2990,1509,8967,
11,2990,1509,8967,
11,2990,1509,8967,
11,2990,1509,8967,
11,2990,1509,8967,
11,2990,1509,8967,
11,2990,1509,8967,
11,2990,1509,8967,
11,2990,1509,8967,
11,2990,1509,8967,
11,2990,1509,8967,
11,2990,1509,8967,
11,2990,1509,8967,
11,2990,1509,8967,
24,2990,1509,8967,
6,1922,421,7899,
6,1922,421,7899,
14,2990,1509,8967,
14,2990,1509,8967,
1,140,27,6117,
4,2209,567,8186,
9,2990,1509,8967,
4,2209,567,8186,
4,2209,567,8186,
0,553,48,6530,
8,2157,536,8134,
8,2157,536,8134,
10,2174,547,8151,
10,2174,547,8151,
8,2157,536,8134,
10,2174,547,8151,
10,2174,547,8151,
10,2174,547,8151,
4,2157,536,8134,
17,2670,643,8647,
17,2670,643,8647,
17,2670,643,8647,
17,2670,643,8647,
17,2670,643,8647,
17,2670,643,8647,
17,2670,643,8647,
17,2670,643,8647,
17,2670,643,8647,
17,2670,643,8647,
17,2670,643,8647,
17,2670,643,8647,
4,2209,567,8186,
4,2209,567,8186,
4,2209,567,8186,
12,2922,1053,8899,
12,2922,1053,8899,
4,2209,567,8186,
4,2209,567,8186,
4,2209,567,8186,
4,2209,567,8186,
4,2209,567,8186,
4,2209,567,8186,
4,2209,567,8186,
4,2209,567,8186,
4,2209,567,8186,
4,2209,567,8186,
4,2209,567,8186,
4,2209,567,8186,
4,2209,567,8186,
4,2209,567,8186,
4,2209,567,8186,
4,2209,567,8186,
13,2893,997,8870,
4,2209,567,8186,
4,2209,567,8186,
4,2195,565,8172,
7,2018,456,7995,
16,2195,565,8172,
16,2195,565,8172,
37,2953,1269,8930,
1,563,48,6540,
1,563,48,6540,
1,563,48,6540,
1,563,48,6540,
16,2952,1239,8929,
16,2952,1239,8929,
6,2209,567,8186,
6,2209,567,8186,
6,2209,567,8186,
6,2209,567,8186,
6,2209,567,8186,
6,2209,567,8186,
6,2209,567,8186,
6,2209,567,8186,
6,2209,567,8186,
6,2209,567,8186,
6,2209,567,8186,
9,2240,579,8217,
9,2240,579,8217,
8,2209,567,8186,
8,2209,567,8186,
8,2209,567,8186,
8,2209,567,8186,
0,387,40,6364,
8,2209,567,8186,
8,2209,567,8186,
8,2209,567,8186,
8,2209,567,8186,
13,2471,624,8448,
13,2471,624,8448,
9,610,53,6587,
4,1222,169,7199,
10,2178,551,8155,
3,471,42,6448,
4,473,42,6450,
16,2991,1509,8968,
16,2991,1509,8968,
1,467,42,6444,
3,466,42,6443,
5,1189,157,7166,
5,1189,157,7166,
1,406,40,6383,
13,2352,604,8329,
0,397,40,6374,
1,405,40,6382,
7,1227,170,7204,
7,1227,170,7204,
7,1389,302,7366,
7,1389,302,7366,
2,398,40,6375,
0,393,40,6370,
0,393,40,6370,
9,1688,356,7665,
7,2158,536,8135,
7,2158,536,8135,
44,2991,1509,8968,
44,2991,1509,8968,
72,2991,1509,8968,
72,2991,1509,8968,
1,393,40,6370,
0,23,5,6000,
0,393,40,6370,
28,2433,606,8410,
0,393,40,6370,
9,1823,408,7800,
