F83,F71-grobmeier@apache.org,F71-rpopma@unknown,F71-rgoers@apache.org,F71-mattsicker@apache.org,F71-nickwilliams@unknown,F71-remkop@yahoo.com,F71-mattsicker@unknown,F71-sdeboy@apache.org,F71-bbrouwer@unknown,F71-ggregory@apache.org,F71-rgoers@nextiva.com,F71-rpopma@apache.org,F71-ralph.goers@dslextreme.com,F71-carnold@apache.org,F71-garydgregory@gmail.com,F74,F85,F73,F84,F146,F147,
874,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,5726,1,8968,10,4862,4855,
874,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,5726,1,8968,10,4862,4855,
446,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,5298,1,8968,10,4862,4855,
446,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,5298,1,8968,10,4862,4855,
56,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4908,1,8968,10,4862,4855,
56,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4908,1,8968,10,4862,4855,
56,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4908,1,8968,10,4862,4855,
56,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4908,1,8968,10,4862,4855,
56,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4908,1,8968,10,4862,4855,
56,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4908,1,8968,10,4862,4855,
56,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4908,1,8968,10,4862,4855,
56,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4908,1,8968,10,4862,4855,
56,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4908,1,8968,10,4862,4855,
56,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4908,1,8968,10,4862,4855,
56,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4908,1,8968,10,4862,4855,
56,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4908,1,8968,10,4862,4855,
56,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4908,1,8968,10,4862,4855,
56,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4908,1,8968,10,4862,4855,
54,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,4906,1,8968,10,4862,4855,
233,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,5081,1,8968,10,4862,4855,
233,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,5081,1,8968,10,4862,4855,
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4911,1,8968,10,4862,4855,
1573,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6425,1,8968,924,5776,4855,
1573,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6425,1,8968,924,5776,4855,
1573,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6425,1,8968,924,5776,4855,
1573,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6425,1,8968,924,5776,4855,
1678,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6530,1,8968,924,5776,4855,
1676,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,6528,1,8968,1676,6528,4855,
1676,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,6528,1,8968,1676,6528,4855,
1676,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,6528,1,8968,1676,6528,4855,
1676,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,6528,1,8968,1676,6528,4855,
1676,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,6528,1,8968,1676,6528,4855,
1676,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,6528,1,8968,1676,6528,4855,
1676,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,6528,1,8968,1676,6528,4855,
1676,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,6528,1,8968,1676,6528,4855,
1680,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6532,1,8968,1676,6528,4855,
1256,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,6108,1,8968,105,4957,4855,
1256,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,6108,1,8968,105,4957,4855,
