F41,F40,F43,F42,F45,F44,F140,F47,F141,F46,F142,F49,F143,F48,F126,F127,F128,F129,F50,F52,F51,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F138,F139,
0,0.0,0,0,0,0,1746,7438,167737,0.0,149009,561,0.034748690644969896,2558,22,0,0,22,10557,0.013350559449220778,4880,0,22,0,0.5641025641025641,0,22,0,0,0,0,22,22,0.5641025641025641,157500,8491,
0,0.0,0,0,0,0,1746,7438,167737,0.0,149009,561,0.034748690644969896,2558,806,0,0,806,10557,0.013350559449220778,4880,0,806,0,0.8430962343096234,0,1501,0,0,0,0,1501,1501,0.1654428607113161,157500,8491,
0,0.0,0,0,0,0,1746,7438,167737,0.0,149009,561,0.034748690644969896,2558,5,0,0,5,10557,0.013350559449220778,4880,0,5,0,0.10869565217391304,0,1501,0,0,0,0,1501,1501,0.1654428607113161,157500,8491,
0,0.0,0,0,0,0,1746,7438,167737,0.0,149009,561,0.034748690644969896,2558,2,0,0,2,10557,0.013350559449220778,4880,0,2,0,0.030303030303030304,0,1501,0,0,0,0,1501,1501,0.1654428607113161,157500,8491,
0,0.0,0,0,0,0,1746,7438,167737,0.0,149009,561,0.034748690644969896,2558,310,2,0,312,10557,0.013350559449220778,4880,0,308,0,0.01747614566974759,0,461,0,102,0,0,563,359,0.03146346406249012,157500,8491,
0,0.0,0,0,0,0,1746,7438,167737,0.0,149009,561,0.034748690644969896,2558,310,2,0,312,10557,0.013350559449220778,4880,0,308,0,0.01747614566974759,0,461,0,102,0,0,563,359,0.03146346406249012,157500,8491,
0,0.0,0,0,0,0,1746,7438,167737,0.0,149009,561,0.034748690644969896,2558,3,2,0,5,10557,0.013350559449220778,4880,0,1,0,0.05813953488372093,0,461,0,102,0,0,563,359,0.03146346406249012,157500,8491,
0,0.0,0,0,0,0,1746,7438,167737,0.0,149009,561,0.034748690644969896,2558,3,2,0,5,10557,0.013350559449220778,4880,0,1,0,0.05813953488372093,0,461,0,102,0,0,563,359,0.03146346406249012,157500,8491,
0,0.0,0,0,0,0,1746,7438,167737,0.0,149009,561,0.034748690644969896,2558,513,11,0,524,10557,0.013350559449220778,4880,0,502,0,0.002081078850324581,0,513,0,11,0,0,524,502,0.002081078850324581,157500,8491,
0,0.0,0,0,0,0,1746,7438,167737,0.0,149009,561,0.034748690644969896,2558,94,4,0,98,10557,0.013350559449220778,4880,0,90,0,0.04751926057128742,0,535,0,15,3,0,553,520,0.021481890083396394,157500,8491,
0,0.0,0,0,0,0,1746,7438,167737,0.0,149009,561,0.034748690644969896,2558,94,4,0,98,10557,0.013350559449220778,4880,0,90,0,0.04751926057128742,0,535,0,15,3,0,553,520,0.021481890083396394,157500,8491,
0,0.0,0,0,0,0,1746,7438,167737,0.0,149009,561,0.034748690644969896,2558,94,4,0,98,10557,0.013350559449220778,4880,0,90,0,0.04751926057128742,0,535,0,15,3,0,553,520,0.021481890083396394,157500,8491,
0,0.0,0,0,0,0,1746,7438,167737,0.0,149009,561,0.034748690644969896,2558,94,4,0,98,10557,0.013350559449220778,4880,0,90,0,0.04751926057128742,0,535,0,15,3,0,553,520,0.021481890083396394,157500,8491,
0,0.0,0,0,0,0,1746,7438,167737,0.0,149009,561,0.034748690644969896,2558,220,5,0,225,10557,0.013350559449220778,4880,0,215,0,0.007279071714636898,0,535,0,15,3,0,553,520,0.021481890083396394,157500,8491,
0,0.0,0,0,0,0,1746,7438,167737,0.0,149009,561,0.034748690644969896,2558,220,5,0,225,10557,0.013350559449220778,4880,0,215,0,0.007279071714636898,0,535,0,15,3,0,553,520,0.021481890083396394,157500,8491,
0,0.0,0,0,0,0,1746,7438,167737,0.0,149009,561,0.034748690644969896,2558,220,5,0,225,10557,0.013350559449220778,4880,0,215,0,0.007279071714636898,0,535,0,15,3,0,553,520,0.021481890083396394,157500,8491,
0,0.0,0,0,0,0,1746,7438,167737,0.0,149009,561,0.034748690644969896,2558,220,5,0,225,10557,0.013350559449220778,4880,0,215,0,0.007279071714636898,0,535,0,15,3,0,553,520,0.021481890083396394,157500,8491,
0,0.0,0,0,0,0,1746,7438,167737,0.0,149009,561,0.034748690644969896,2558,148,2,3,153,10557,0.013350559449220778,4880,0,146,0,0.06152986961228585,0,535,0,15,3,0,553,520,0.021481890083396394,157500,8491,
0,0.0,0,0,0,0,1746,7438,167737,0.0,149009,561,0.034748690644969896,2558,16,0,0,16,10557,0.013350559449220778,4880,0,16,0,0.013114754098360656,0,696,0,16,0,0,712,680,0.016080414916823372,157500,8491,
