F61,F77,F88,F70,
1,305,156,1977,
0,168,120,1840,
0,168,120,1840,
0,168,120,1840,
6,305,156,1977,
6,305,156,1977,
1,117,113,1789,
1,117,113,1789,
6,305,156,1977,
9,305,156,1977,
9,305,156,1977,
7,303,156,1975,
9,305,156,1977,
1,191,124,1863,
1,191,124,1863,
7,305,156,1977,
7,305,156,1977,
6,305,156,1977,
1,303,156,1975,
4,303,156,1975,
4,303,156,1975,
4,303,156,1975,
4,303,156,1975,
4,303,156,1975,
4,303,156,1975,
4,303,156,1975,
4,303,156,1975,
2,303,156,1975,
2,303,156,1975,
2,303,156,1975,
2,303,156,1975,
2,303,156,1975,
5,303,156,1975,
8,305,156,1977,
5,303,156,1975,
11,305,156,1977,
11,305,156,1977,
11,305,156,1977,
11,305,156,1977,
17,305,156,1977,
17,305,156,1977,
3,303,156,1975,
14,305,156,1977,
12,303,156,1975,
14,305,156,1977,
14,305,156,1977,
12,303,156,1975,
14,305,156,1977,
14,305,156,1977,
14,305,156,1977,
14,305,156,1977,
6,305,156,1977,
19,305,156,1977,
22,303,156,1975,
22,303,156,1975,
22,303,156,1975,
22,303,156,1975,
0,50,71,1722,
11,305,156,1977,
11,305,156,1977,
17,305,156,1977,
17,305,156,1977,
17,305,156,1977,
12,262,141,1934,
12,262,141,1934,
12,262,141,1934,
12,262,141,1934,
12,262,141,1934,
12,262,141,1934,
1,88,107,1760,
12,262,141,1934,
1,88,107,1760,
12,262,141,1934,
12,262,141,1934,
12,262,141,1934,
12,262,141,1934,
12,262,141,1934,
12,262,141,1934,
12,262,141,1934,
4,305,156,1977,
5,303,156,1975,
5,303,156,1975,
5,303,156,1975,
0,50,71,1722,
6,305,156,1977,
6,305,156,1977,
6,305,156,1977,
6,305,156,1977,
24,305,156,1977,
24,305,156,1977,
2,262,141,1934,
2,262,141,1934,
13,305,156,1977,
3,262,141,1934,
3,262,141,1934,
3,262,141,1934,
3,262,141,1934,
5,305,156,1977,
10,305,156,1977,
9,303,156,1975,
17,269,144,1941,
21,305,156,1977,
21,305,156,1977,
21,305,156,1977,
17,269,144,1941,
17,269,144,1941,
21,305,156,1977,
17,269,144,1941,
17,269,144,1941,
17,269,144,1941,
10,305,156,1977,
10,305,156,1977,
8,305,156,1977,
8,305,156,1977,
10,303,156,1975,
14,305,156,1977,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
1,269,144,1941,
1,269,144,1941,
1,269,144,1941,
1,269,144,1941,
1,269,144,1941,
1,269,144,1941,
1,269,144,1941,
1,269,144,1941,
1,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
0,269,144,1941,
1,117,113,1789,
1,117,113,1789,
1,117,113,1789,
1,117,113,1789,
1,117,113,1789,
1,117,113,1789,
1,117,113,1789,
1,117,113,1789,
1,117,113,1789,
1,117,113,1789,
1,117,113,1789,
1,117,113,1789,
2,117,113,1789,
2,117,113,1789,
2,117,113,1789,
2,117,113,1789,
4,106,110,1778,
5,117,113,1789,
5,117,113,1789,
5,117,113,1789,
5,117,113,1789,
5,117,113,1789,
5,117,113,1789,
5,117,113,1789,
5,117,113,1789,
5,117,113,1789,
5,117,113,1789,
5,117,113,1789,
5,117,113,1789,
5,117,113,1789,
5,117,113,1789,
5,117,113,1789,
5,117,113,1789,
5,117,113,1789,
5,117,113,1789,
5,117,113,1789,
5,117,113,1789,
5,117,113,1789,
5,117,113,1789,
5,117,113,1789,
1,27,37,1699,
5,117,113,1789,
5,117,113,1789,
5,117,113,1789,
5,117,113,1789,
5,117,113,1789,
5,117,113,1789,
1,117,113,1789,
1,40,47,1712,
1,40,47,1712,
1,117,113,1789,
1,117,113,1789,
1,117,113,1789,
1,117,113,1789,
1,117,113,1789,
1,117,113,1789,
1,117,113,1789,
1,117,113,1789,
1,117,113,1789,
1,117,113,1789,
1,117,113,1789,
1,117,113,1789,
1,117,113,1789,
1,117,113,1789,
3,117,113,1789,
3,117,113,1789,
3,117,113,1789,
3,117,113,1789,
3,117,113,1789,
3,117,113,1789,
3,117,113,1789,
3,117,113,1789,
3,117,113,1789,
2,117,113,1789,
2,117,113,1789,
2,117,113,1789,
2,117,113,1789,
1,117,113,1789,
3,117,113,1789,
0,40,47,1712,
0,40,47,1712,
0,40,47,1712,
2,117,113,1789,
1,78,105,1750,
2,117,113,1789,
12,237,134,1909,
2,42,61,1714,
2,42,61,1714,
0,5,23,1677,
2,42,61,1714,
2,42,61,1714,
2,42,61,1714,
2,42,61,1714,
2,42,61,1714,
2,42,61,1714,
2,42,61,1714,
2,42,61,1714,
2,42,61,1714,
2,42,61,1714,
2,42,61,1714,
3,117,113,1789,
2,117,113,1789,
1,305,156,1977,
1,305,156,1977,
1,305,156,1977,
1,305,156,1977,
3,117,113,1789,
3,117,113,1789,
3,117,113,1789,
3,117,113,1789,
3,117,113,1789,
3,117,113,1789,
3,117,113,1789,
3,117,113,1789,
3,117,113,1789,
0,35,42,1707,
3,117,113,1789,
1,50,71,1722,
1,50,71,1722,
1,50,71,1722,
1,50,71,1722,
1,50,71,1722,
1,50,71,1722,
1,50,71,1722,
2,117,113,1789,
2,117,113,1789,
2,117,113,1789,
2,117,113,1789,
2,117,113,1789,
2,117,113,1789,
2,117,113,1789,
2,117,113,1789,
2,117,113,1789,
0,18,24,1690,
0,18,24,1690,
0,18,24,1690,
0,18,24,1690,
2,117,113,1789,
2,117,113,1789,
2,117,113,1789,
2,117,113,1789,
2,117,113,1789,
2,117,113,1789,
2,117,113,1789,
2,117,113,1789,
2,117,113,1789,
2,117,113,1789,
2,117,113,1789,
2,117,113,1789,
2,117,113,1789,
0,40,47,1712,
0,40,47,1712,
0,40,47,1712,
0,40,47,1712,
0,40,47,1712,
0,40,47,1712,
8,117,113,1789,
8,117,113,1789,
8,117,113,1789,
8,117,113,1789,
8,117,113,1789,
8,117,113,1789,
8,117,113,1789,
8,117,113,1789,
8,117,113,1789,
8,117,113,1789,
8,117,113,1789,
8,117,113,1789,
8,117,113,1789,
8,117,113,1789,
8,117,113,1789,
8,117,113,1789,
8,117,113,1789,
8,117,113,1789,
8,117,113,1789,
8,117,113,1789,
8,117,113,1789,
8,117,113,1789,
8,117,113,1789,
7,104,110,1776,
8,117,113,1789,
8,117,113,1789,
8,117,113,1789,
8,117,113,1789,
