F16-Configuration,F16-KeyValue,F16-List<PeekingResultIterator>,F16-PDataType,F16-Expression,F16-Boolean,F16-PMetaData,F16-PreparedStatement,F16-NA,F16-void,F16-int,F16-boolean,F16-String,F16-ParseNode,F16-PDatum,F16-KeyRange,F16-PhoenixArray,F16-Void,F16-PhoenixConnection,F16-ParameterMetaData,F3-TEST_PROPERTIES,F3-NA,F3-SchemaUtil.normalizeIdentifier(tableName),F3-Class,F3-SchemaUtil.normalizeIdentifier(schemaName),F3-PHOENIX_JDBC_TENANT_SPECIFIC_URL,F3-byte[],F3-children.get(0),F3-null,F3-getUrl(),F3-boolean,F3-String,F3-long,F3-int,F3-Properties,F3-List<ParseNode>,F3-BitSet,F3-PreparedStatement,F3-input,F3-Connection,F7-|,F7--,F7-+=,F7-NA,F7-*,F7-+,F12-long,F12-PhoenixConnection,F12-int,F12-NA,F12-VerifyingIndexCodec,F12-Queue<TableStateVerifier>,F12-HTable,F12-boolean,F12-Logger,F12-MemoryChunk,F12-Map<ImmutableBytesPtr List<Tuple>>,F12-byte[],F12-String,F12-KeySlot,F12-ImmutableBytesWritable,F12-List<KeyRange>,F12-KeyValueBuilder,F12-KeyRange,F12-ReadOnlyProps,F12-List<Pair>,F17-static,F17-final,F17-NA,F2-ResultSet,F2-StringBuilder,F2-QueryCompilerTest,F2-BaseTest,F2-NA,F2-MemoryManagerTest,F2-Entry,F2-ToCharFunctionIT,F2-DateFormat,F2-Wrapper,F2-Connection,F2-String,F2-ToNumberFunctionIT,F2-PreparedStatement,F2-DriverManager,F2-Format,F2-List<Object>,F2-MessageDigest,F2-Statement,F2-InListExpression,F6-org.apache.phoenix.coprocessor.Delete,F6-NA,F6-org.apache.phoenix.arithmetic.ImmutableBytesWritable,F6-org.apache.phoenix.coprocessor.Put,F6-java.text.DecimalFormat,F6-java.util.Properties,F6-java.io.PrintWriter,F6-org.apache.phoenix.schema.PhoenixArray,F6-PhoenixArray.PrimitiveDoublePhoenixArray,F6-org.apache.phoenix.hbase.index.balancer.HBaseAdmin,F6-java.io.DataInputStream,F6-java.util.ArrayList<org.apache.phoenix.trace.TraceMetricSource.Metric>,F6-java.io.File,F6-java.lang.String,F6-org.apache.phoenix.end2end.StatsManagerImpl,F6-java.lang.StringBuilder,F6-java.util.ArrayList<org.apache.phoenix.trace.Pair>,F6-PhoenixArray.PrimitiveBytePhoenixArray,F6-org.apache.hadoop.hbase.regionserver.wal.Path,F6-org.apache.phoenix.expression.ImmutableBytesPtr,F13-private,F13-NA,F18-private,F18-NA,F18-public,F14-static-final,F14-final-final,F14-NA,F14-final,F1-executeQuery,F1-NA,F1-add,F1-close,F1-prepareStatement,F1-getUrl,F1-pushFollow,F1-createArrayOf,F1-deepCopy,F1-execute,F1-get,F1-getConnection,F1-format,F1-runOneRowQueryTest,F1-setString,F1-allocate,F1-match,F1-getTableName,F1-closeStmtAndConn,F1-createStatement,F5-java.lang.Object,F5-NA,F5-java.io.Writer,F5-java.text.NumberFormat,F5-java.util.Hashtable,F5-java.io.FilterInputStream,F5-java.util.Date,F5-java.lang.Number,F5-java.util.AbstractList,F5-java.lang.AbstractStringBuilder,F5-java.io.IOException,F5-java.util.AbstractCollection,F5-java.lang.Exception,F9-query,F9-columns,F9-tableName,F9-index,F9-expectedKvs,F9-a,F9-b,F9-hbaseRootDir,F9-statement,F9-msg,F9-baseType,F9-priority,F9-fs,F9-array,F9-union,F9-NA,F9-expected,F9-decoder,F9-conf,F9-parameterCount,F10-NA,F10-true,F19-NA,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-PTable,F4-boolean,F4-PhoenixTestDriver,F4-long,F4-ResultSet,F4-Statement,F4-PreparedStatement,F4-ShutdownOnUnusedThreadPoolExecutor,F4-Scan,F4-Connection,F4-byte[],F4-ResultSetMetaData,F4-void,F4-Array,F4-StringBuilder,F4-T,F4-String,F4-int,F4-OrderPreserving,F8-KeyRangeCoalesceTest,F8-WALReplayWithIndexWritesAndCompressedWALIT,F8-IndexQosRpcController,F8-PhoenixArray,F8-PhoenixConnection,F8-PhoenixPreparedStatement,F8-KeyRangeUnionTest,F8-PhoenixHBaseLoader,F8-SequenceValueExpression,F8-ListMatchingVerifier,F8-MultiMutation,F8-NA,F8-KeyRangeIntersectTest,F8-CompressedIndexKeyValueDecoder,F11-rowCount,F11-length,F11-done,F11-tuple,F11-NA,F11-memoryChunk,F11-row,F11-currentKey,F11-maxSize,F11-kvBuilder,F11-offset,F11-index,F11-augmentedProps,F11-logger,F11-tags,F11-connection,F11-slot,F11-table,F11-counters,F11-id,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
