F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,
34,3,154,1,8,19,5,3,0.5631067961165048,60,28,0.4666666666666667,0.35294117647058826,17,0,
11,10,1127,2,8,83,1,14,0.2568627450980392,355,115,0.323943661971831,0.8181818181818182,0,1,
11,10,1127,2,8,83,1,14,0.2529411764705882,355,115,0.323943661971831,0.6363636363636364,0,1,
11,10,1127,2,8,83,1,14,0.19215686274509805,355,115,0.323943661971831,0.8181818181818182,0,1,
11,10,1127,2,8,83,1,14,0.18823529411764706,355,115,0.323943661971831,0.6363636363636364,0,1,
3,10,1127,2,8,83,1,14,0.9764705882352941,355,115,0.323943661971831,0.6666666666666666,0,1,
261,4,1127,1,21,83,49,14,0.4980544747081712,230,19,0.08260869565217391,0.21264367816091953,83,0,
87,4,1127,1,12,83,17,14,0.3657587548638132,230,19,0.08260869565217391,0.19540229885057472,83,1,
5,24,1127,6,4,83,1,14,0.13922764227642276,611,297,0.486088379705401,0.8,0,1,
2,24,1127,6,0,83,1,14,0.27134146341463417,611,297,0.486088379705401,1.0,0,1,
2,24,1127,6,0,83,1,14,0.5396341463414634,611,297,0.486088379705401,1.0,0,1,
26,24,1127,6,0,83,7,14,0.45934959349593496,611,297,0.486088379705401,1.0,31,1,
17,3,1127,1,12,83,4,14,0.9631578947368421,158,20,0.12658227848101267,0.5,5,1,
0,3,370,5,5,24,1,9,0.553921568627451,111,63,0.5675675675675675,1.0,0,1,
0,3,370,5,3,24,1,9,0.4166666666666667,111,63,0.5675675675675675,1.0,0,1,
9,12,370,1,4,24,1,9,0.32247557003257327,200,69,0.345,0.3333333333333333,0,1,
9,12,370,1,3,24,1,9,0.23127035830618892,200,69,0.345,0.6111111111111112,0,0,
7,12,370,1,4,24,3,9,0.501628664495114,200,69,0.345,0.2857142857142857,4,1,
24,1,56,2,0,2,2,3,0.8955223880597015,37,21,0.5675675675675675,1.0,18,1,
12,8,400,3,12,34,3,16,0.5666666666666667,119,42,0.35294117647058826,0.375,0,1,
19,8,400,3,12,34,3,16,0.40555555555555556,119,42,0.35294117647058826,0.23684210526315788,0,1,
0,8,400,3,17,34,1,16,0.4444444444444444,119,42,0.35294117647058826,1.0,0,1,
0,8,400,3,32,34,1,16,0.48333333333333334,119,42,0.35294117647058826,1.0,0,1,
121,6,400,5,0,34,18,16,0.7780898876404494,254,80,0.31496062992125984,1.0,0,1,
49,6,400,5,0,34,9,16,0.851123595505618,254,80,0.31496062992125984,1.0,0,1,
0,6,400,5,0,34,1,16,0.37640449438202245,254,80,0.31496062992125984,1.0,0,1,
3,6,400,5,0,34,1,16,0.33146067415730335,254,80,0.31496062992125984,1.0,0,1,
0,6,400,2,28,34,1,16,0.6274509803921569,66,26,0.3939393939393939,1.0,0,1,
5,5,628,2,0,30,2,14,0.4817073170731707,99,46,0.46464646464646464,1.0,2,1,
8,10,628,4,8,30,2,14,0.8584615384615385,211,75,0.35545023696682465,0.875,0,1,
3,10,628,4,8,30,1,14,0.7723076923076924,211,75,0.35545023696682465,0.6666666666666666,0,1,
32,10,628,4,12,30,2,14,0.6184615384615385,211,75,0.35545023696682465,0.25,0,1,
0,10,628,4,0,30,1,14,0.24923076923076923,211,75,0.35545023696682465,1.0,0,1,
0,10,628,4,0,30,1,14,0.22153846153846155,211,75,0.35545023696682465,1.0,0,1,
0,10,628,4,0,30,1,14,0.2676923076923077,211,75,0.35545023696682465,1.0,0,1,
18,10,628,4,0,30,2,14,0.20923076923076922,211,75,0.35545023696682465,1.0,0,1,
0,10,628,4,0,30,1,14,0.26461538461538464,211,75,0.35545023696682465,1.0,0,1,
14,10,628,3,8,30,2,14,0.3723196881091618,301,149,0.4950166112956811,0.7142857142857143,0,1,
51,10,628,3,8,30,13,14,0.2787524366471735,301,149,0.4950166112956811,0.5686274509803921,0,1,
14,10,628,3,8,30,2,14,0.37816764132553604,301,149,0.4950166112956811,0.7857142857142857,0,1,
18,10,628,3,8,30,4,14,0.40545808966861596,301,149,0.4950166112956811,0.1111111111111111,0,1,
0,10,628,3,0,30,1,14,0.746588693957115,301,149,0.4950166112956811,1.0,0,1,
0,5,628,5,0,30,1,14,0.9537275064267352,237,116,0.48945147679324896,1.0,0,1,
0,2,11394,2,13,828,1,174,0.5609756097560976,53,17,0.32075471698113206,1.0,0,1,
0,2,11394,2,10,828,1,174,0.7431192660550459,81,17,0.20987654320987653,1.0,0,1,
0,4,11394,4,10,828,1,174,0.8931297709923665,210,19,0.09047619047619047,1.0,0,1,
0,2,11394,6,32,828,1,174,0.3830409356725146,269,37,0.137546468401487,1.0,0,1,
0,2,11394,6,12,828,1,174,0.5146198830409356,269,37,0.137546468401487,1.0,0,1,
0,2,11394,6,0,828,1,174,0.7251461988304093,269,37,0.137546468401487,1.0,0,1,
0,2,11394,6,0,828,1,174,0.7982456140350878,269,37,0.137546468401487,1.0,0,1,
231,4,11394,7,8,828,26,174,0.5033898305084745,473,69,0.14587737843551796,0.06493506493506493,0,1,
0,4,11394,7,24,828,1,174,0.7966101694915254,473,69,0.14587737843551796,1.0,0,1,
0,4,11394,7,21,828,1,174,0.9101694915254237,473,69,0.14587737843551796,1.0,0,1,
0,4,11394,7,8,828,1,174,0.4186440677966102,473,69,0.14587737843551796,1.0,0,1,
0,2,11394,2,10,828,1,174,0.6027397260273972,43,17,0.3953488372093023,1.0,0,1,
126,68,11394,15,8,828,27,174,0.9545454545454546,1130,99,0.08761061946902655,0.3412698412698413,0,0,
0,68,11394,15,22,828,1,174,0.5704545454545454,1130,99,0.08761061946902655,1.0,0,1,
0,68,11394,15,0,828,1,174,0.6265151515151515,1130,99,0.08761061946902655,1.0,0,1,
0,68,11394,15,20,828,1,174,0.593939393939394,1130,99,0.08761061946902655,1.0,0,1,
0,68,11394,15,22,828,1,174,0.6409090909090909,1130,99,0.08761061946902655,1.0,0,1,
0,68,11394,15,0,828,1,174,0.7575757575757576,1130,99,0.08761061946902655,1.0,0,1,
0,68,11394,15,20,828,1,174,0.6871212121212121,1130,99,0.08761061946902655,1.0,0,1,
0,68,11394,15,19,828,1,174,0.771969696969697,1130,99,0.08761061946902655,1.0,0,1,
0,68,11394,15,19,828,1,174,0.8174242424242424,1130,99,0.08761061946902655,1.0,0,1,
