F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,
1,1,CORRECTNESS,0.021352313167259787,RV_RETURN_VALUE_IGNORED,5,2,1,1.3493455673998112E-4,1.3493455673998112E-4,1.3493455673998112E-4,
12,5,MALICIOUS_CODE,0.01912811387900356,EI_EXPOSE_REP2,18,2,4,0.0016192146808797732,6.746727836999055E-4,5.397382269599245E-4,
12,5,MALICIOUS_CODE,0.01912811387900356,EI_EXPOSE_REP2,18,2,4,0.0016192146808797732,6.746727836999055E-4,5.397382269599245E-4,
12,5,MALICIOUS_CODE,0.01912811387900356,EI_EXPOSE_REP2,18,2,4,0.0016192146808797732,6.746727836999055E-4,5.397382269599245E-4,
12,5,MALICIOUS_CODE,0.01912811387900356,EI_EXPOSE_REP2,18,2,4,0.0016192146808797732,6.746727836999055E-4,5.397382269599245E-4,
12,5,STYLE,0.0066725978647686835,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,1,0.0016192146808797732,6.746727836999055E-4,1.3493455673998112E-4,
12,2,STYLE,0.051601423487544484,NP_LOAD_OF_KNOWN_NULL_VALUE,16,2,2,0.0016192146808797732,2.6986911347996224E-4,2.6986911347996224E-4,
12,2,STYLE,0.013345195729537367,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,20,3,2,0.0016192146808797732,2.6986911347996224E-4,2.6986911347996224E-4,
12,4,MALICIOUS_CODE,0.01912811387900356,EI_EXPOSE_REP2,18,2,1,0.0016192146808797732,5.397382269599245E-4,1.3493455673998112E-4,
12,4,STYLE,0.013345195729537367,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,20,3,1,0.0016192146808797732,5.397382269599245E-4,1.3493455673998112E-4,
12,4,STYLE,0.008451957295373666,REC_CATCH_EXCEPTION,17,2,1,0.0016192146808797732,5.397382269599245E-4,1.3493455673998112E-4,
12,4,STYLE,0.008451957295373666,REC_CATCH_EXCEPTION,20,3,1,0.0016192146808797732,5.397382269599245E-4,1.3493455673998112E-4,
12,1,STYLE,0.013345195729537367,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,18,2,1,0.0016192146808797732,1.3493455673998112E-4,1.3493455673998112E-4,
5,2,PERFORMANCE,0.008896797153024912,SIC_INNER_SHOULD_BE_STATIC,18,2,0,6.746727836999055E-4,2.6986911347996224E-4,0.0,
5,2,PERFORMANCE,0.008896797153024912,SIC_INNER_SHOULD_BE_STATIC,18,2,0,6.746727836999055E-4,2.6986911347996224E-4,0.0,
5,3,STYLE,8.896797153024911E-4,DLS_DEAD_LOCAL_STORE_SHADOWS_FIELD,9,1,2,6.746727836999055E-4,4.048036702199433E-4,2.6986911347996224E-4,
5,3,BAD_PRACTICE,0.005782918149466192,NM_CONFUSING,19,3,1,6.746727836999055E-4,4.048036702199433E-4,1.3493455673998112E-4,
5,3,STYLE,0.013790035587188613,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,20,3,1,6.746727836999055E-4,4.048036702199433E-4,1.3493455673998112E-4,
1,1,BAD_PRACTICE,0.002224199288256228,VA_FORMAT_STRING_USES_NEWLINE,20,2,1,1.3493455673998112E-4,1.3493455673998112E-4,1.3493455673998112E-4,
9,4,MT_CORRECTNESS,0.0013345195729537367,DC_DOUBLECHECK,14,2,1,0.0012144110106598299,5.397382269599245E-4,1.3493455673998112E-4,
9,4,MT_CORRECTNESS,0.0013345195729537367,DC_DOUBLECHECK,14,2,1,0.0012144110106598299,5.397382269599245E-4,1.3493455673998112E-4,
9,4,MT_CORRECTNESS,8.896797153024911E-4,IS2_INCONSISTENT_SYNC,17,2,0,0.0012144110106598299,5.397382269599245E-4,0.0,
9,4,PERFORMANCE,0.07028469750889679,SIC_INNER_SHOULD_BE_STATIC_ANON,20,3,0,0.0012144110106598299,5.397382269599245E-4,0.0,
9,4,CORRECTNESS,0.003113879003558719,DMI_INVOKING_TOSTRING_ON_ARRAY,8,1,1,0.0012144110106598299,5.397382269599245E-4,1.3493455673998112E-4,
9,4,CORRECTNESS,0.003113879003558719,DMI_INVOKING_TOSTRING_ON_ARRAY,8,1,1,0.0012144110106598299,5.397382269599245E-4,1.3493455673998112E-4,
9,4,MALICIOUS_CODE,0.02491103202846975,EI_EXPOSE_REP,18,2,1,0.0012144110106598299,5.397382269599245E-4,1.3493455673998112E-4,
9,4,MALICIOUS_CODE,0.01912811387900356,EI_EXPOSE_REP2,18,2,1,0.0012144110106598299,5.397382269599245E-4,1.3493455673998112E-4,
9,1,PERFORMANCE,0.07028469750889679,SIC_INNER_SHOULD_BE_STATIC_ANON,20,3,0,0.0012144110106598299,1.3493455673998112E-4,0.0,
15,1,BAD_PRACTICE,0.006227758007117438,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,19,3,1,0.002024018351099717,1.3493455673998112E-4,1.3493455673998112E-4,
15,8,STYLE,0.0066725978647686835,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,1,0.002024018351099717,0.001079476453919849,1.3493455673998112E-4,
15,8,CORRECTNESS,4.4483985765124553E-4,RV_ABSOLUTE_VALUE_OF_HASHCODE,7,1,1,0.002024018351099717,0.001079476453919849,1.3493455673998112E-4,
15,8,BAD_PRACTICE,4.4483985765124553E-4,SR_NOT_CHECKED,16,2,1,0.002024018351099717,0.001079476453919849,1.3493455673998112E-4,
15,8,MALICIOUS_CODE,0.02491103202846975,EI_EXPOSE_REP,18,2,2,0.002024018351099717,0.001079476453919849,2.6986911347996224E-4,
15,8,MALICIOUS_CODE,0.02491103202846975,EI_EXPOSE_REP,18,2,2,0.002024018351099717,0.001079476453919849,2.6986911347996224E-4,
15,8,MALICIOUS_CODE,0.02491103202846975,EI_EXPOSE_REP,18,2,2,0.002024018351099717,0.001079476453919849,2.6986911347996224E-4,
15,8,MALICIOUS_CODE,0.01912811387900356,EI_EXPOSE_REP2,18,2,1,0.002024018351099717,0.001079476453919849,1.3493455673998112E-4,
15,8,MALICIOUS_CODE,0.01912811387900356,EI_EXPOSE_REP2,18,2,2,0.002024018351099717,0.001079476453919849,2.6986911347996224E-4,
15,5,STYLE,0.0013345195729537367,DLS_DEAD_LOCAL_STORE_OF_NULL,20,3,2,0.002024018351099717,6.746727836999055E-4,2.6986911347996224E-4,
15,5,STYLE,0.0013345195729537367,DLS_DEAD_LOCAL_STORE_OF_NULL,20,3,1,0.002024018351099717,6.746727836999055E-4,1.3493455673998112E-4,
15,5,CORRECTNESS,0.0017793594306049821,IP_PARAMETER_IS_DEAD_BUT_OVERWRITTEN,11,3,2,0.002024018351099717,6.746727836999055E-4,2.6986911347996224E-4,
15,5,STYLE,0.011565836298932384,UCF_USELESS_CONTROL_FLOW,20,3,1,0.002024018351099717,6.746727836999055E-4,1.3493455673998112E-4,
15,5,STYLE,0.0013345195729537367,DLS_DEAD_LOCAL_STORE_OF_NULL,20,3,1,0.002024018351099717,6.746727836999055E-4,1.3493455673998112E-4,
15,1,CORRECTNESS,0.003113879003558719,DMI_INVOKING_TOSTRING_ON_ARRAY,10,2,1,0.002024018351099717,1.3493455673998112E-4,1.3493455673998112E-4,
593,1,PERFORMANCE,0.07028469750889679,SIC_INNER_SHOULD_BE_STATIC_ANON,20,3,0,0.0800161921468088,1.3493455673998112E-4,0.0,
593,1,PERFORMANCE,0.07028469750889679,SIC_INNER_SHOULD_BE_STATIC_ANON,20,3,0,0.0800161921468088,1.3493455673998112E-4,0.0,
593,1,PERFORMANCE,0.07028469750889679,SIC_INNER_SHOULD_BE_STATIC_ANON,20,3,0,0.0800161921468088,1.3493455673998112E-4,0.0,
593,4,PERFORMANCE,0.07028469750889679,SIC_INNER_SHOULD_BE_STATIC_ANON,20,3,0,0.0800161921468088,5.397382269599245E-4,0.0,
