F83,F71-ramkrishna.s.vasudevan@intel.com,F71-jtaylor@salesforce.com,F71-jamestaylor@apache.org,F71-tdsilva@salesforce.com,F71-ndimiduk@apache.org,F71-twdsilva@gmail.com,F71-samarth.jain@salesforce.com,F71-jeffreyz@apache.org,F71-enis@apache.org,F71-maryannxue@apache.org,F71-jzhong@JZhongs-MacBook-Pro.local,F71-elilevine@apache.org,F71-stoens@apache.org,F71-jmahonin@interset.com,F71-gabrielr@ngdata.com,F71-rajeshbabu@apache.org,F71-ramkrishna.s.vasudevan@gmail.com,F71-samarth@apache.org,F71-mujtaba@apache.org,F71-wei.xue@intel.com,F74,F85,F73,F84,F146,F147,
320,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1065,1,1977,320,1065,749,
320,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1065,1,1977,86,832,749,
320,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1065,1,1977,86,832,749,
320,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1065,1,1977,86,832,749,
320,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1065,1,1977,86,832,749,
320,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1065,1,1977,86,832,749,
318,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1064,1,1977,86,832,749,
318,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1064,1,1977,86,832,749,
318,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1064,1,1977,86,832,749,
318,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1064,1,1977,86,832,749,
318,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1064,1,1977,86,832,749,
318,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1064,1,1977,86,832,749,
86,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,832,1,1977,86,832,749,
318,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1064,1,1977,51,797,749,
318,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1064,1,1977,51,797,749,
318,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1064,1,1977,51,797,749,
552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1298,1,1977,395,1141,749,
17,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,762,1,1977,17,762,749,
79,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,825,1,1977,17,762,749,
79,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,825,1,1977,17,762,749,
79,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,825,1,1977,17,762,749,
79,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,825,1,1977,17,762,749,
79,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,825,1,1977,17,762,749,
79,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,825,1,1977,17,762,749,
603,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1349,1,1977,320,1065,749,
755,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1501,1,1977,320,1065,749,
755,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1501,1,1977,320,1065,749,
755,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1501,1,1977,320,1065,749,
