F72,F54,F53,F55,F25,F26,
5275,org/apache/poi,apache,org/apache/poi/POIDataSamples.java,873,true,
5275,org/apache/poi,apache,org/apache/poi/POIDataSamples.java,873,true,
5275,org/apache/poi,apache,org/apache/poi/POIDataSamples.java,873,true,
5275,org/apache/poi,apache,org/apache/poi/POIDataSamples.java,873,true,
5275,org/apache/poi,apache,org/apache/poi/POIDataSamples.java,873,true,
5275,org/apache/poi,apache,org/apache/poi/POIDataSamples.java,873,true,
5275,org/apache/poi,apache,org/apache/poi/POIDataSamples.java,873,true,
5275,org/apache/poi,apache,org/apache/poi/POIDataSamples.java,873,true,
5275,org/apache/poi,apache,org/apache/poi/POIDataSamples.java,873,true,
5275,org/apache/poi,apache,org/apache/poi/POIDataSamples.java,873,true,
5275,org/apache/poi,apache,org/apache/poi/POIDataSamples.java,873,true,
4448,org/apache/poi,apache,org/apache/poi/POIXMLDocumentPart.java,223,true,
4881,org/apache/poi,apache,org/apache/poi/POIXMLProperties.java,560,true,
4881,org/apache/poi,apache,org/apache/poi/POIXMLProperties.java,560,true,
4881,org/apache/poi,apache,org/apache/poi/POIXMLProperties.java,560,true,
5387,org/apache/poi,apache,org/apache/poi/TestPOIDocumentScratchpad.java,963,true,
5387,org/apache/poi,apache,org/apache/poi/TestPOIDocumentScratchpad.java,963,true,
5387,org/apache/poi,apache,org/apache/poi/TestPOIDocumentScratchpad.java,963,true,
5387,org/apache/poi,apache,org/apache/poi/TestPOIDocumentScratchpad.java,963,true,
5266,org/apache/poi,apache,org/apache/poi/TestPOIXMLDocument.java,870,true,
5266,org/apache/poi,apache,org/apache/poi/TestPOIXMLDocument.java,870,true,
5317,org/apache/poi,apache,org/apache/poi/TestPOIXMLProperties.java,905,true,
5317,org/apache/poi,apache,org/apache/poi/TestPOIXMLProperties.java,905,true,
5317,org/apache/poi,apache,org/apache/poi/TestPOIXMLProperties.java,905,true,
4085,org/apache/poi/ddf,apache,org/apache/poi/ddf/AbstractEscherOptRecord.java,164,true,
6064,org/apache/poi/ddf,apache,org/apache/poi/ddf/DefaultEscherRecordFactory.java,1268,true,
7377,org/apache/poi/ddf,apache,org/apache/poi/ddf/EscherComplexProperty.java,2832,true,
7377,org/apache/poi/ddf,apache,org/apache/poi/ddf/EscherArrayProperty.java,2832,true,
7377,org/apache/poi/ddf,apache,org/apache/poi/ddf/EscherBSERecord.java,2832,true,
7377,org/apache/poi/ddf,apache,org/apache/poi/ddf/EscherBSERecord.java,2832,true,
7377,org/apache/poi/ddf,apache,org/apache/poi/ddf/EscherBSERecord.java,2832,true,
7377,org/apache/poi/ddf,apache,org/apache/poi/ddf/EscherBSERecord.java,2832,true,
7377,org/apache/poi/ddf,apache,org/apache/poi/ddf/EscherBSERecord.java,2832,true,
7377,org/apache/poi/ddf,apache,org/apache/poi/ddf/EscherBSERecord.java,2832,true,
7377,org/apache/poi/ddf,apache,org/apache/poi/ddf/EscherBSERecord.java,2832,true,
5394,org/apache/poi/ddf,apache,org/apache/poi/ddf/EscherBitmapBlip.java,965,true,
5394,org/apache/poi/ddf,apache,org/apache/poi/ddf/EscherBitmapBlip.java,965,true,
5394,org/apache/poi/ddf,apache,org/apache/poi/ddf/EscherBitmapBlip.java,965,true,
3997,org/apache/poi/ddf,apache,org/apache/poi/ddf/EscherBlipRecord.java,131,true,
3997,org/apache/poi/ddf,apache,org/apache/poi/ddf/EscherBlipRecord.java,131,true,
3997,org/apache/poi/ddf,apache,org/apache/poi/ddf/EscherBlipRecord.java,131,true,
7270,org/apache/poi/ddf,apache,org/apache/poi/ddf/EscherBlipWMFRecord.java,2446,true,
7270,org/apache/poi/ddf,apache,org/apache/poi/ddf/EscherBlipWMFRecord.java,2446,true,
7270,org/apache/poi/ddf,apache,org/apache/poi/ddf/EscherBlipWMFRecord.java,2446,true,
7270,org/apache/poi/ddf,apache,org/apache/poi/ddf/EscherBlipWMFRecord.java,2446,true,
7270,org/apache/poi/ddf,apache,org/apache/poi/ddf/EscherBlipWMFRecord.java,2446,true,
7270,org/apache/poi/ddf,apache,org/apache/poi/ddf/EscherBlipWMFRecord.java,2446,true,
7270,org/apache/poi/ddf,apache,org/apache/poi/ddf/EscherBlipWMFRecord.java,2446,true,
7377,org/apache/poi/ddf,apache,org/apache/poi/ddf/EscherChildAnchorRecord.java,2832,true,
7377,org/apache/poi/ddf,apache,org/apache/poi/ddf/EscherClientAnchorRecord.java,2832,true,
7377,org/apache/poi/ddf,apache,org/apache/poi/ddf/EscherClientAnchorRecord.java,2832,true,
7377,org/apache/poi/ddf,apache,org/apache/poi/ddf/EscherClientAnchorRecord.java,2832,true,
