F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,
24,11,MT_CORRECTNESS,0.009815469179426776,LI_LAZY_INIT_STATIC,17,3,1,0.008865903213889916,0.004063538973032878,3.694126339120798E-4,
24,11,MT_CORRECTNESS,0.009815469179426776,LI_LAZY_INIT_STATIC,17,3,1,0.008865903213889916,0.004063538973032878,3.694126339120798E-4,
24,11,MT_CORRECTNESS,0.009815469179426776,LI_LAZY_INIT_STATIC,17,3,1,0.008865903213889916,0.004063538973032878,3.694126339120798E-4,
24,11,MT_CORRECTNESS,0.009815469179426776,LI_LAZY_INIT_STATIC,17,3,1,0.008865903213889916,0.004063538973032878,3.694126339120798E-4,
24,11,MT_CORRECTNESS,0.009815469179426776,LI_LAZY_INIT_STATIC,17,3,1,0.008865903213889916,0.004063538973032878,3.694126339120798E-4,
24,11,MT_CORRECTNESS,0.009815469179426776,LI_LAZY_INIT_STATIC,17,3,1,0.008865903213889916,0.004063538973032878,3.694126339120798E-4,
24,11,MT_CORRECTNESS,0.009815469179426776,LI_LAZY_INIT_STATIC,17,3,1,0.008865903213889916,0.004063538973032878,3.694126339120798E-4,
24,11,MT_CORRECTNESS,0.009815469179426776,LI_LAZY_INIT_STATIC,17,3,1,0.008865903213889916,0.004063538973032878,3.694126339120798E-4,
24,11,MT_CORRECTNESS,0.009815469179426776,LI_LAZY_INIT_STATIC,17,3,1,0.008865903213889916,0.004063538973032878,3.694126339120798E-4,
24,11,MT_CORRECTNESS,0.009815469179426776,LI_LAZY_INIT_STATIC,17,3,1,0.008865903213889916,0.004063538973032878,3.694126339120798E-4,
24,11,MT_CORRECTNESS,0.009815469179426776,LI_LAZY_INIT_STATIC,17,3,1,0.008865903213889916,0.004063538973032878,3.694126339120798E-4,
24,1,BAD_PRACTICE,3.9261876717707107E-4,NP_TOSTRING_COULD_RETURN_NULL,14,2,1,0.008865903213889916,3.694126339120798E-4,3.694126339120798E-4,
24,3,PERFORMANCE,0.00745975657636435,SIC_INNER_SHOULD_BE_STATIC,18,2,0,0.008865903213889916,0.0011082379017362395,0.0,
24,3,PERFORMANCE,0.00745975657636435,SIC_INNER_SHOULD_BE_STATIC,18,2,0,0.008865903213889916,0.0011082379017362395,0.0,
24,3,PERFORMANCE,0.00745975657636435,SIC_INNER_SHOULD_BE_STATIC,18,2,0,0.008865903213889916,0.0011082379017362395,0.0,
24,4,STYLE,0.019238319591676482,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,20,3,1,0.008865903213889916,0.0014776505356483192,3.694126339120798E-4,
24,4,STYLE,0.019238319591676482,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,20,3,1,0.008865903213889916,0.0014776505356483192,3.694126339120798E-4,
24,4,STYLE,0.019238319591676482,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,20,3,1,0.008865903213889916,0.0014776505356483192,3.694126339120798E-4,
24,4,STYLE,0.019238319591676482,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,20,3,1,0.008865903213889916,0.0014776505356483192,3.694126339120798E-4,
24,2,EXPERIMENTAL,0.017275225755791126,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,20,2,2,0.008865903213889916,7.388252678241596E-4,7.388252678241596E-4,
24,2,BAD_PRACTICE,0.055751864939144094,OS_OPEN_STREAM_EXCEPTION_PATH,19,3,2,0.008865903213889916,7.388252678241596E-4,7.388252678241596E-4,
24,3,STYLE,0.0015704750687082843,DLS_DEAD_LOCAL_STORE_OF_NULL,20,3,3,0.008865903213889916,0.0011082379017362395,0.0011082379017362395,
24,3,STYLE,0.0015704750687082843,DLS_DEAD_LOCAL_STORE_OF_NULL,20,3,3,0.008865903213889916,0.0011082379017362395,0.0011082379017362395,
24,3,STYLE,0.0015704750687082843,DLS_DEAD_LOCAL_STORE_OF_NULL,20,3,3,0.008865903213889916,0.0011082379017362395,0.0011082379017362395,
68,1,PERFORMANCE,0.03180212014134275,SIC_INNER_SHOULD_BE_STATIC_ANON,20,3,0,0.025120059106021424,3.694126339120798E-4,0.0,
68,1,STYLE,0.013741656851197487,REC_CATCH_EXCEPTION,20,3,1,0.025120059106021424,3.694126339120798E-4,3.694126339120798E-4,
68,3,STYLE,0.0015704750687082843,EQ_DOESNT_OVERRIDE_EQUALS,17,2,1,0.025120059106021424,0.0011082379017362395,3.694126339120798E-4,
68,2,STYLE,0.017275225755791126,RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT,17,2,1,0.025120059106021424,7.388252678241596E-4,3.694126339120798E-4,
68,7,MALICIOUS_CODE,0.09265802905378877,EI_EXPOSE_REP,18,2,1,0.025120059106021424,0.0025858884373845584,3.694126339120798E-4,
68,7,MALICIOUS_CODE,0.09265802905378877,EI_EXPOSE_REP,18,2,2,0.025120059106021424,0.0025858884373845584,7.388252678241596E-4,
