F61,F77,F88,F70,
3,1488,870,5266,
3,1488,870,5266,
3,1488,870,5266,
1,806,316,4584,
3,1488,870,5266,
3,1488,870,5266,
3,1488,870,5266,
3,1488,870,5266,
3,1488,870,5266,
3,1488,870,5266,
3,1488,870,5266,
13,1550,916,5328,
10,1743,1075,5521,
10,1743,1075,5521,
10,1743,1075,5521,
4,2956,1573,6734,
4,2956,1573,6734,
4,2956,1573,6734,
4,2956,1573,6734,
7,1512,883,5290,
7,1512,883,5290,
10,1539,905,5317,
10,1539,905,5317,
10,1539,905,5317,
2,307,164,4085,
3,1616,965,5394,
3,3599,2832,7377,
0,1616,965,5394,
2,1616,965,5394,
8,3599,2832,7377,
2,1616,965,5394,
2,1616,965,5394,
8,3599,2832,7377,
8,3599,2832,7377,
2,1616,965,5394,
5,3490,2443,7268,
5,3490,2443,7268,
5,3490,2443,7268,
2,2973,1597,6751,
2,2973,1597,6751,
7,3599,2832,7377,
4,3492,2446,7270,
4,3492,2446,7270,
4,3492,2446,7270,
4,3492,2446,7270,
4,3492,2446,7270,
4,3492,2446,7270,
4,3492,2446,7270,
4,3599,2832,7377,
8,3599,2832,7377,
8,3599,2832,7377,
8,3599,2832,7377,
8,3599,2832,7377,
5,3599,2832,7377,
5,3599,2832,7377,
5,3599,2832,7377,
5,3599,2832,7377,
0,1616,965,5394,
0,1616,965,5394,
0,1616,965,5394,
4,3599,2832,7377,
4,3599,2832,7377,
11,3599,2832,7377,
2,1616,965,5394,
2,1616,965,5394,
3,3599,2832,7377,
3,3599,2832,7377,
3,3599,2832,7377,
1,1560,933,5338,
4,2477,1349,6255,
1,1560,933,5338,
6,2973,1597,6751,
2,1616,965,5394,
2,1616,965,5394,
4,2973,1597,6751,
1,1616,965,5394,
5,3599,2832,7377,
5,3599,2832,7377,
6,3599,2832,7377,
6,3599,2832,7377,
6,3599,2832,7377,
2,1560,933,5338,
6,2477,1349,6255,
6,2477,1349,6255,
6,2477,1349,6255,
6,2477,1349,6255,
6,2477,1349,6255,
6,2477,1349,6255,
6,2477,1349,6255,
11,3599,2832,7377,
7,3599,2832,7377,
7,3599,2832,7377,
9,4734,3586,8512,
1,3471,2428,7249,
6,4354,3524,8132,
9,4734,3586,8512,
9,4734,3586,8512,
0,1256,726,5034,
31,4899,3630,8677,
31,4899,3630,8677,
21,4899,3630,8677,
21,4899,3630,8677,
21,4899,3630,8677,
4,1235,715,5013,
4,1235,715,5013,
4,4242,3476,8020,
4,4242,3476,8020,
4,4242,3476,8020,
4,4242,3476,8020,
6,4849,3607,8627,
6,4849,3607,8627,
6,4849,3607,8627,
6,4849,3607,8627,
5,4849,3607,8627,
5,4849,3607,8627,
5,4849,3607,8627,
5,4849,3607,8627,
5,4849,3607,8627,
8,4849,3607,8627,
8,4849,3607,8627,
8,4849,3607,8627,
8,4849,3607,8627,
8,4849,3607,8627,
8,4849,3607,8627,
8,4849,3607,8627,
8,4849,3607,8627,
8,4849,3607,8627,
8,4849,3607,8627,
8,4849,3607,8627,
8,4849,3607,8627,
8,4849,3607,8627,
8,4849,3607,8627,
8,4849,3607,8627,
5,4849,3607,8627,
5,4849,3607,8627,
5,4849,3607,8627,
5,4849,3607,8627,
5,4849,3607,8627,
5,4849,3607,8627,
5,4849,3607,8627,
5,4849,3607,8627,
5,4849,3607,8627,
15,4849,3607,8627,
15,4849,3607,8627,
15,4849,3607,8627,
15,4849,3607,8627,
15,4849,3607,8627,
15,4849,3607,8627,
16,4899,3630,8677,
12,4133,3394,7911,
13,4843,3603,8621,
14,4847,3607,8625,
15,4849,3607,8627,
15,4849,3607,8627,
15,4849,3607,8627,
5,4849,3607,8627,
5,4849,3607,8627,
7,4849,3607,8627,
5,4849,3607,8627,
5,4849,3607,8627,
5,4849,3607,8627,
5,4849,3607,8627,
5,4849,3607,8627,
4,4244,3476,8022,
4,4244,3476,8022,
10,4258,3481,8036,
8,4245,3476,8023,
8,4245,3476,8023,
10,4258,3481,8036,
16,4709,3583,8487,
15,4699,3579,8477,
16,4709,3583,8487,
16,4709,3583,8487,
4,4245,3476,8023,
8,4709,3583,8487,
8,4258,3481,8036,
6,4709,3583,8487,
6,4709,3583,8487,
10,4696,3578,8474,
10,4696,3578,8474,
6,4709,3583,8487,
5,4696,3578,8474,
8,4709,3583,8487,
8,4709,3583,8487,
8,4709,3583,8487,
14,4709,3583,8487,
14,4709,3583,8487,
14,4709,3583,8487,
14,4709,3583,8487,
14,4709,3583,8487,
14,4709,3583,8487,
14,4709,3583,8487,
14,4709,3583,8487,
