F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,
4,17,1350,2,8,157,2,30,0.34099616858237547,189,39,0.20634920634920634,0.5,0,1,
4,17,1350,2,8,157,2,30,0.2835249042145594,189,39,0.20634920634920634,0.5,0,1,
4,17,1350,2,8,157,2,30,0.24521072796934865,189,39,0.20634920634920634,0.5,0,1,
4,17,1350,2,8,157,2,30,0.39846743295019155,189,39,0.20634920634920634,0.5,0,1,
4,17,1350,2,8,157,2,30,0.36015325670498083,189,39,0.20634920634920634,0.5,0,1,
4,17,1350,2,8,157,2,30,0.41762452107279696,189,39,0.20634920634920634,0.5,0,1,
4,17,1350,2,8,157,2,30,0.30268199233716475,189,39,0.20634920634920634,0.5,0,1,
4,17,1350,2,8,157,2,30,0.3218390804597701,189,39,0.20634920634920634,0.5,0,1,
4,17,1350,2,8,157,2,30,0.3793103448275862,189,39,0.20634920634920634,0.5,0,1,
4,17,1350,2,8,157,2,30,0.26436781609195403,189,39,0.20634920634920634,0.5,0,1,
4,17,1350,2,8,157,2,30,0.2260536398467433,189,39,0.20634920634920634,0.5,0,1,
3,28,1350,1,8,157,1,30,0.6244444444444445,222,182,0.8198198198198198,0.6666666666666666,1,1,
0,5,1350,5,0,157,1,30,0.4336734693877551,284,70,0.24647887323943662,1.0,0,1,
0,5,1350,5,0,157,1,30,0.7397959183673469,284,70,0.24647887323943662,1.0,0,1,
0,5,1350,5,0,157,1,30,0.7040816326530612,284,70,0.24647887323943662,1.0,0,1,
80,11,1350,1,9,157,27,30,0.889795918367347,188,34,0.18085106382978725,0.9375,74,2,
6,5,1350,1,0,157,1,30,0.5480769230769231,57,24,0.42105263157894735,1.0,0,1,
6,5,1350,1,0,157,1,30,0.75,57,24,0.42105263157894735,1.0,0,1,
11,5,1350,1,0,157,1,30,0.8653846153846154,57,24,0.42105263157894735,1.0,0,1,
7,5,1350,1,0,157,1,30,0.6442307692307693,57,24,0.42105263157894735,1.0,8,1,
62,6,1350,3,8,157,5,30,0.6225806451612903,114,9,0.07894736842105263,0.13709677419354838,32,0,
31,6,1350,3,8,157,3,30,0.6193548387096774,114,9,0.07894736842105263,0.25806451612903225,32,1,
22,8,1350,1,0,157,1,30,0.33170731707317075,155,9,0.05806451612903226,1.0,32,1,
22,8,1350,1,0,157,1,30,0.33658536585365856,155,9,0.05806451612903226,1.0,32,1,
22,8,1350,1,0,157,1,30,0.34146341463414637,155,9,0.05806451612903226,1.0,32,1,
0,13,4146,2,13,493,1,60,0.602803738317757,162,28,0.1728395061728395,1.0,0,1,
39,4,4146,1,0,493,7,60,0.65,112,34,0.30357142857142855,1.0,19,6,
11,10,4146,1,8,493,4,60,0.6598639455782312,74,53,0.7162162162162162,0.6060606060606061,0,1,
17,16,4146,1,0,493,4,60,0.8076923076923077,141,41,0.2907801418439716,1.0,7,1,
3,33,4146,1,8,493,1,60,0.8140161725067385,248,75,0.3024193548387097,0.6666666666666666,0,1,
3,33,4146,1,8,493,1,60,0.48517520215633425,248,75,0.3024193548387097,0.6666666666666666,0,1,
3,33,4146,1,8,493,1,60,0.8328840970350404,248,75,0.3024193548387097,0.6666666666666666,0,1,
3,33,4146,1,8,493,1,60,0.5040431266846361,248,75,0.3024193548387097,0.6666666666666666,0,1,
3,33,4146,1,8,493,1,60,0.3450134770889488,248,75,0.3024193548387097,0.6666666666666666,0,0,
3,33,4146,1,6,493,1,60,0.3611859838274933,248,75,0.3024193548387097,0.8333333333333334,0,0,
30,33,4146,1,0,493,6,60,0.32345013477088946,248,75,0.3024193548387097,1.0,15,2,
13,9,4146,1,12,493,1,60,0.7410071942446043,111,4,0.036036036036036036,0.5384615384615384,0,1,
15,9,4146,1,12,493,2,60,0.8992805755395683,111,4,0.036036036036036036,0.4,0,1,
3,9,4146,1,8,493,1,60,0.5467625899280576,111,4,0.036036036036036036,0.6666666666666666,0,1,
3,9,4146,1,8,493,1,60,0.5827338129496403,111,4,0.036036036036036036,0.6666666666666666,1,2,
3,9,4146,1,8,493,1,60,0.7340425531914894,69,4,0.057971014492753624,0.6666666666666666,0,1,
3,9,4146,1,8,493,1,60,0.776595744680851,69,4,0.057971014492753624,0.6666666666666666,0,1,
3,9,4146,1,8,493,1,60,1.3085106382978724,69,4,0.057971014492753624,0.6666666666666666,0,0,
13,32,4146,1,12,493,1,60,0.7545871559633027,284,103,0.3626760563380282,0.5384615384615384,0,1,
15,32,4146,1,12,493,2,60,0.8256880733944955,284,103,0.3626760563380282,0.4,0,1,
3,32,4146,1,8,493,1,60,0.6972477064220184,284,103,0.3626760563380282,0.6666666666666666,0,1,
3,32,4146,1,8,493,1,60,0.29357798165137616,284,103,0.3626760563380282,0.6666666666666666,0,1,
3,32,4146,1,8,493,1,60,0.7155963302752294,284,103,0.3626760563380282,0.6666666666666666,0,1,
3,32,4146,1,8,493,1,60,0.3119266055045872,284,103,0.3626760563380282,0.6666666666666666,0,1,
3,32,4146,1,8,493,1,60,0.26605504587155965,284,103,0.3626760563380282,0.6666666666666666,0,1,
32,32,4146,1,8,493,1,60,0.21330275229357798,284,103,0.3626760563380282,0.15625,18,2,
14,15,4146,1,8,493,1,60,0.24431818181818182,114,35,0.30701754385964913,0.14285714285714285,4,2,
13,27,4146,1,12,493,1,60,0.4016393442622951,242,85,0.3512396694214876,0.5384615384615384,0,1,
18,27,4146,1,12,493,3,60,0.48360655737704916,242,85,0.3512396694214876,0.3333333333333333,66,1,
3,27,4146,1,8,493,1,60,0.9726775956284153,242,85,0.3512396694214876,0.6666666666666666,0,1,
3,27,4146,1,8,493,1,60,0.994535519125683,242,85,0.3512396694214876,0.6666666666666666,0,1,
13,27,4146,1,0,493,1,60,0.40710382513661203,242,85,0.3512396694214876,1.0,0,1,
18,27,4146,1,0,493,3,60,0.4890710382513661,242,85,0.3512396694214876,1.0,66,1,
13,9,4146,1,12,493,1,60,0.6170212765957447,104,16,0.15384615384615385,0.5384615384615384,0,1,
18,9,4146,1,12,493,3,60,0.7730496453900709,104,16,0.15384615384615385,0.3333333333333333,21,1,
3,9,4146,1,8,493,1,60,0.9290780141843972,104,16,0.15384615384615385,0.6666666666666666,0,1,
3,9,4146,1,8,493,1,60,0.9858156028368794,104,16,0.15384615384615385,0.6666666666666666,0,1,
13,9,4146,1,0,493,1,60,0.6312056737588653,104,16,0.15384615384615385,1.0,0,1,
18,9,4146,1,0,493,3,60,0.7872340425531915,104,16,0.15384615384615385,1.0,21,1,
7,10,4146,1,8,493,1,60,0.9387755102040817,74,53,0.7162162162162162,0.2857142857142857,0,1,
3,10,4146,1,8,493,1,60,0.5918367346938775,74,53,0.7162162162162162,0.6666666666666666,0,1,
4,10,4146,1,8,493,1,60,0.4013605442176871,74,53,0.7162162162162162,0.75,0,1,
4,10,4146,1,8,493,1,60,0.3129251700680272,74,53,0.7162162162162162,0.75,0,1,
10,13,4146,1,8,493,1,60,0.2597402597402597,94,38,0.40425531914893614,0.2,2,2,
10,13,4146,1,0,493,1,60,0.2857142857142857,94,38,0.40425531914893614,1.0,2,2,
3,20,4146,3,8,493,1,60,0.8423236514522822,181,22,0.12154696132596685,0.6666666666666666,0,1,
3,20,4146,3,8,493,1,60,0.8589211618257261,181,22,0.12154696132596685,0.6666666666666666,0,1,
22,20,4146,3,0,493,3,60,0.2987551867219917,181,22,0.12154696132596685,1.0,9,2,
292,9,4146,2,8,493,55,60,0.08287895310796074,803,63,0.0784557907845579,0.02054794520547945,0,1,
7,9,4146,2,8,493,1,60,0.8146128680479825,803,63,0.0784557907845579,0.7142857142857143,0,1,
0,9,4146,2,14,493,1,60,0.4765539803707743,803,63,0.0784557907845579,1.0,0,1,
44,22,4146,1,0,493,3,60,0.4597315436241611,231,24,0.1038961038961039,1.0,0,1,
3,22,4146,1,8,493,1,60,0.6241610738255033,231,24,0.1038961038961039,0.6666666666666666,0,1,
3,22,4146,1,8,493,1,60,0.8087248322147651,231,24,0.1038961038961039,0.6666666666666666,0,1,
3,22,4146,1,8,493,1,60,0.5939597315436241,231,24,0.1038961038961039,0.6666666666666666,0,1,
3,22,4146,1,8,493,1,60,0.6375838926174496,231,24,0.1038961038961039,0.6666666666666666,0,1,
3,22,4146,1,8,493,1,60,0.6073825503355704,231,24,0.1038961038961039,0.6666666666666666,0,1,
3,18,4146,1,8,493,1,60,0.6223175965665236,183,13,0.07103825136612021,0.6666666666666666,0,1,
3,18,4146,1,8,493,1,60,0.6394849785407726,183,13,0.07103825136612021,0.6666666666666666,1,1,
10,14,4146,1,8,493,1,60,0.22127659574468084,130,80,0.6153846153846154,0.2,2,2,
10,14,4146,1,0,493,1,60,0.23829787234042554,130,80,0.6153846153846154,1.0,2,2,
3,11,4146,1,8,493,1,60,0.6545454545454545,115,25,0.21739130434782608,0.6666666666666666,0,1,
3,11,4146,1,8,493,1,60,0.503030303030303,115,25,0.21739130434782608,0.6666666666666666,0,1,
14,11,4146,1,0,493,2,60,0.7757575757575758,115,25,0.21739130434782608,1.0,0,1,
15,11,4146,1,0,493,3,60,0.9212121212121213,115,25,0.21739130434782608,1.0,19,1,
13,5,4146,1,8,493,1,60,0.9540229885057471,132,17,0.12878787878787878,0.5384615384615384,0,1,
66,5,4146,1,8,493,1,60,0.6436781609195402,132,17,0.12878787878787878,0.29545454545454547,0,0,
60,5,4146,1,8,493,1,60,0.3649425287356322,132,17,0.12878787878787878,0.30833333333333335,0,0,
33,5,4146,1,8,493,1,60,0.735632183908046,132,17,0.12878787878787878,0.9393939393939394,0,1,
33,5,4146,1,8,493,1,60,0.7298850574712644,132,17,0.12878787878787878,0.9090909090909091,0,1,
30,5,4146,1,8,493,1,60,0.4367816091954023,132,17,0.12878787878787878,0.9333333333333333,0,1,
12,5,4146,1,12,493,1,60,0.8448275862068966,132,17,0.12878787878787878,0.3333333333333333,3,1,
12,5,4146,1,12,493,1,60,0.8505747126436781,132,17,0.12878787878787878,0.4166666666666667,3,1,
12,5,4146,1,9,493,1,60,0.8333333333333334,132,17,0.12878787878787878,0.5750000000000001,3,1,
3,12,4146,1,8,493,1,60,0.7023809523809523,127,16,0.12598425196850394,0.6666666666666666,0,1,
3,12,4146,1,8,493,1,60,0.6011904761904762,127,16,0.12598425196850394,0.6666666666666666,0,2,
70,3,135,1,18,10,9,2,0.6677852348993288,104,27,0.25961538461538464,0.32142857142857145,44,0,
18,3,135,1,8,10,1,2,0.8657718120805369,104,27,0.25961538461538464,0.1111111111111111,0,1,
