F83,F71-tallison@apache.org,F71-acoliver@apache.org,F71-kiwiwings@apache.org,F71-sergey@apache.org,F71-klute@apache.org,F71-berlog@apache.org,F71-glens@apache.org,F71-sackley@apache.org,F71-paolo@apache.org,F71-yegor@apache.org,F71-centic@apache.org,F71-jheight@apache.org,F71-ugo@apache.org,F71-maxcom@apache.org,F71-bayard@apache.org,F71-josh@apache.org,F71-avik@apache.org,F71-kiwiwings@unknown,F71-nick@apache.org,F71-cedricwalter@apache.org,F74,F85,F73,F84,F146,F147,
120,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3387,1,642,3,3270,3270,
120,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3387,1,642,3,3270,3270,
120,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3387,1,642,3,3270,3270,
120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3387,1,642,3,3270,3270,
120,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3387,1,642,3,3270,3270,
120,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3387,1,642,3,3270,3270,
120,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3387,1,642,3,3270,3270,
120,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3387,1,642,3,3270,3270,
120,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3387,1,642,3,3270,3270,
120,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3387,1,642,3,3270,3270,
120,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3387,1,642,3,3270,3270,
176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3443,1,8677,3,3270,3270,
11,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,3278,1,8677,3,3270,3270,
1614,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,4881,1,8677,3,3270,3270,
1614,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,4881,1,8677,3,3270,3270,
1614,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,4881,1,8677,3,3270,3270,
507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3774,1,8677,3,3270,3270,
1371,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4638,1,8677,3,3270,3270,
1371,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4638,1,8677,3,3270,3270,
1371,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4638,1,8677,3,3270,3270,
1371,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4638,1,8677,3,3270,3270,
3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,3270,1,8677,3,3270,3270,
3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,3270,1,8677,3,3270,3270,
1181,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4448,1,8677,3,3270,3270,
1181,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4448,1,8677,3,3270,3270,
1181,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4448,1,8677,3,3270,3270,
356,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3623,1,8677,6,3273,3270,
390,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3657,1,8677,6,3273,3270,
408,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,3675,1,8677,6,3273,3270,
400,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3667,1,8677,6,3273,3270,
409,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3676,1,8677,6,3273,3270,
409,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,3676,1,8677,6,3273,3270,
409,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3676,1,8677,6,3273,3270,
409,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3676,1,8677,6,3273,3270,
409,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,3676,1,8677,6,3273,3270,
409,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,3676,1,8677,6,3273,3270,
409,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3676,1,8677,6,3273,3270,
409,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3676,1,8677,6,3273,3270,
409,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3676,1,8677,6,3273,3270,
409,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3676,1,8677,6,3273,3270,
409,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3676,1,8677,6,3273,3270,
409,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3676,1,8677,6,3273,3270,
409,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3676,1,8677,6,3273,3270,
409,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,3676,1,8677,6,3273,3270,
409,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,3676,1,8677,6,3273,3270,
391,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,3658,1,8677,6,3273,3270,
391,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,3658,1,8677,6,3273,3270,
391,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,3658,1,8677,6,3273,3270,
391,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,3658,1,8677,6,3273,3270,
391,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,3658,1,8677,6,3273,3270,
391,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,3658,1,8677,6,3273,3270,
