F83,F71-rhs@apache.org,F71-astitcher@apache.org,F71-aidan@apache.org,F71-orudyy@apache.org,F71-gsim@apache.org,F71-rupertlssmith@apache.org,F71-arnaudsimon@apache.org,F71-macbean@apache.org,F71-rgreig@apache.org,F71-vinoski@apache.org,F71-rgodfrey@apache.org,F71-philharveyonline@apache.org,F71-kwall@apache.org,F71-marnie@apache.org,F71-kpvdr@apache.org,F71-rajith@apache.org,F71-wprice@apache.org,F71-ritchiem@apache.org,F71-robbie@apache.org,F71-grkvlt@apache.org,F74,F85,F73,F84,F146,F147,
336,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,3065,1,7773,336,3065,2732,
336,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3065,1,7773,336,3065,2732,
336,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,3065,1,7773,336,3065,2732,
336,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,3065,1,7773,336,3065,2732,
336,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3065,1,7773,336,3065,2732,
336,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,3065,1,7773,336,3065,2732,
336,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,3065,1,7773,336,3065,2732,
336,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,3065,1,7773,336,3065,2732,
336,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,3065,1,7773,336,3065,2732,
336,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,3065,1,7773,336,3065,2732,
528,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,3257,1,7773,528,3257,2732,
1413,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,4142,1,7773,253,2982,2732,
528,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3257,1,7773,528,3257,2732,
353,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3082,1,7773,150,2879,2732,
353,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3082,1,7773,150,2879,2732,
380,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3109,1,7773,270,2999,2732,
380,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3109,1,7773,270,2999,2732,
299,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3028,1,7773,150,2879,2732,
