F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,
11,64,418,4,0,64,3,4,0.521558872305141,724,296,0.4088397790055249,1.0,0,1,
41,64,418,4,0,64,10,4,0.7794361525704809,724,296,0.4088397790055249,1.0,0,1,
16,64,418,4,0,64,6,4,0.2429519071310116,724,296,0.4088397790055249,1.0,0,1,
16,64,418,4,0,64,6,4,0.2429519071310116,724,296,0.4088397790055249,1.0,0,1,
41,64,418,4,0,64,10,4,0.7645107794361525,724,296,0.4088397790055249,1.0,0,1,
14,64,418,4,12,64,4,4,0.5655058043117744,724,296,0.4088397790055249,0.8571428571428571,0,1,
108,64,418,4,13,64,10,4,0.8521282476506358,724,296,0.4088397790055249,0.1962962962962963,0,0,
20,64,418,4,12,64,6,4,0.5066334991708126,724,296,0.4088397790055249,0.7,0,1,
7,64,418,4,12,64,2,4,0.3888888888888889,724,296,0.4088397790055249,0.5714285714285714,0,1,
0,64,418,4,0,64,1,4,0.9900497512437811,724,296,0.4088397790055249,1.0,0,1,
13,9,201,1,0,41,1,18,0.9444444444444444,62,66,1.064516129032258,1.0,9,3,
0,5,123,1,4,32,1,9,0.21030042918454936,66,131,1.9848484848484849,1.0,0,1,
0,5,201,2,9,41,1,18,0.9583333333333334,55,47,0.8545454545454545,1.0,0,1,
56,23,1198,4,0,189,7,42,0.6383812010443864,303,30,0.09900990099009901,1.0,0,0,
10,23,1198,4,12,189,2,42,0.9921671018276762,303,30,0.09900990099009901,0.8,6,1,
0,9,1048,1,6,203,1,17,0.35833333333333334,73,20,0.273972602739726,1.0,0,1,
0,9,1048,1,6,203,1,17,0.35833333333333334,73,20,0.273972602739726,1.0,0,1,
168,41,1198,7,28,189,31,42,0.4394904458598726,500,30,0.06,0.13690476190476192,0,0,
30,41,1198,7,16,189,7,42,0.5732484076433121,500,30,0.06,0.8666666666666667,9,1,
30,41,1198,7,0,189,7,42,0.5398089171974523,500,30,0.06,1.0,9,1,
68,30,1198,10,12,189,13,42,0.522140221402214,443,22,0.04966139954853273,0.23529411764705882,0,1,
19,30,1198,10,16,189,6,42,0.8339483394833949,443,22,0.04966139954853273,0.3157894736842105,0,1,
68,30,1198,10,0,189,13,42,0.488929889298893,443,22,0.04966139954853273,1.0,0,1,
0,30,1198,10,7,189,1,42,0.9649446494464945,443,22,0.04966139954853273,1.0,0,1,
0,30,1198,10,7,189,1,42,0.9391143911439115,443,22,0.04966139954853273,1.0,0,1,
0,10,1198,2,13,189,1,42,0.6923076923076923,161,23,0.14285714285714285,1.0,0,1,
0,10,1198,2,11,189,1,42,0.6751131221719456,161,23,0.14285714285714285,1.0,0,1,
0,4,141,5,15,6,1,6,0.8229813664596274,256,21,0.08203125,1.0,0,1,
88,13,2516,3,21,392,27,147,0.39893617021276595,135,20,0.14814814814814814,0.31691919191919193,11,0,
44,13,2516,3,22,392,14,147,0.324468085106383,135,20,0.14814814814814814,0.5777376033057852,11,1,
24,4,2516,3,12,392,6,147,0.5398230088495575,75,18,0.24,0.7916666666666666,19,1,
3,7,2516,2,8,392,1,147,0.4878048780487805,42,21,0.5,0.6666666666666666,0,1,
0,7,2516,2,4,392,1,147,0.5975609756097561,42,21,0.5,1.0,0,1,
7,5,2516,2,0,392,2,147,0.4714285714285714,40,20,0.5,1.0,2,1,
20,5,2516,2,16,392,7,147,0.43333333333333335,57,20,0.3508771929824561,0.6,4,1,
20,5,2516,2,16,392,7,147,0.37777777777777777,57,20,0.3508771929824561,0.54,4,1,
336,17,2516,3,14,392,82,147,0.7414478918058871,340,26,0.07647058823529412,0.19047619047619047,0,0,
665,17,2516,3,21,392,232,147,0.3266280259120355,340,26,0.07647058823529412,0.08214457115432959,0,0,
28,6,2516,4,8,392,11,147,0.46956521739130436,161,23,0.14285714285714285,0.14285714285714285,0,1,
19,6,2516,4,8,392,8,147,0.7739130434782608,161,23,0.14285714285714285,0.21052631578947367,0,1,
19,6,2516,4,8,392,8,147,0.6521739130434783,161,23,0.14285714285714285,0.21052631578947367,1,1,
18,3,2516,1,8,392,5,147,0.6857142857142857,42,20,0.47619047619047616,0.1111111111111111,13,1,
132,6,2516,1,16,392,46,147,0.5432098765432098,74,20,0.2702702702702703,0.20382395382395382,7,0,
44,6,2516,1,16,392,16,147,0.32407407407407407,74,20,0.2702702702702703,0.5379825653798256,7,1,
200,6,2516,1,16,392,61,147,0.4959016393442623,88,21,0.23863636363636365,0.143671875,7,0,
50,6,2516,1,16,392,16,147,0.28688524590163933,88,21,0.23863636363636365,0.5468711656441718,7,1,
20,6,2516,1,16,392,7,147,0.4810126582278481,48,18,0.375,0.6,4,1,
20,6,2516,1,16,392,7,147,0.4177215189873418,48,18,0.375,0.54,4,1,
375,7,2516,1,17,392,141,147,0.5213333333333333,114,20,0.17543859649122806,0.11851282051282051,11,0,
150,7,2516,1,18,392,57,147,0.4033333333333333,114,20,0.17543859649122806,0.2701275045537341,11,0,
29,6,2516,1,16,392,10,147,0.40625,59,20,0.3389830508474576,0.5681444991789819,8,1,
29,6,2516,1,16,392,10,147,0.3541666666666667,59,20,0.3389830508474576,0.5432447710570943,8,1,
129,5,2516,3,20,392,37,147,0.7961538461538461,215,20,0.09302325581395349,0.5760454198056557,71,2,
129,5,2516,3,23,392,37,147,0.2923076923076923,215,20,0.09302325581395349,0.5514843039659553,71,2,
0,5,2516,3,7,392,1,147,0.3835616438356164,105,20,0.19047619047619047,1.0,0,1,
25,3,2516,1,12,392,5,147,0.8804347826086957,52,20,0.38461538461538464,0.76,16,1,
20,5,2516,2,16,392,7,147,0.44565217391304346,58,20,0.3448275862068966,0.6,4,1,
20,5,2516,2,16,392,7,147,0.391304347826087,58,20,0.3448275862068966,0.54,4,1,
328,9,2516,1,20,392,89,147,0.522189349112426,122,20,0.16393442622950818,0.13831459603658536,16,0,
82,9,2516,1,20,392,23,147,0.5029585798816568,122,20,0.16393442622950818,0.5390243902439025,16,1,
43,4,737,11,8,45,7,30,0.931637519872814,483,23,0.047619047619047616,0.32558139534883723,0,1,
0,4,737,11,0,45,1,30,0.2972972972972973,483,23,0.047619047619047616,1.0,0,1,
0,4,737,11,0,45,1,30,0.2972972972972973,483,23,0.047619047619047616,1.0,0,1,
0,4,737,11,0,45,1,30,0.5850556438791733,483,23,0.047619047619047616,1.0,0,1,
0,4,737,11,0,45,1,30,0.643879173290938,483,23,0.047619047619047616,1.0,0,1,
149,7,737,3,28,45,33,30,0.47575757575757577,256,28,0.109375,0.4563758389261745,0,1,
149,7,737,3,28,45,33,30,0.4727272727272727,256,28,0.109375,0.44966442953020136,0,1,
298,7,737,3,21,45,65,30,0.42727272727272725,256,28,0.109375,0.2838276683264776,0,0,
12,7,737,3,16,45,7,30,0.8909090909090909,256,28,0.109375,0.5833333333333334,5,1,
147,6,737,3,28,45,37,30,0.49517684887459806,240,25,0.10416666666666667,0.46258503401360546,65,1,
147,6,737,3,28,45,37,30,0.4919614147909968,240,25,0.10416666666666667,0.4557823129251701,65,1,
294,6,737,3,21,45,73,30,0.4437299035369775,240,25,0.10416666666666667,0.2934446505875077,65,0,
147,6,737,3,21,45,37,30,0.26366559485530544,240,25,0.10416666666666667,0.5490927224281398,65,1,
0,25,3549,16,18,528,1,61,0.32653985507246375,476,20,0.04201680672268908,1.0,0,1,
0,25,3549,16,30,528,1,61,0.33212560386473433,476,20,0.04201680672268908,1.0,0,1,
0,25,3549,16,17,528,1,61,0.3285024154589372,476,20,0.04201680672268908,1.0,0,1,
0,25,3549,16,13,528,1,61,0.30917874396135264,476,20,0.04201680672268908,1.0,0,1,
0,25,3549,16,33,528,1,61,0.3605072463768116,476,20,0.04201680672268908,1.0,0,1,
0,25,3549,16,33,528,1,61,0.35597826086956524,476,20,0.04201680672268908,1.0,0,1,
14,25,3549,16,0,528,2,61,0.4855072463768116,476,20,0.04201680672268908,1.0,0,1,
4,45,3549,5,8,528,1,61,0.2607407407407407,565,24,0.04247787610619469,0.625,0,0,
7,45,3549,5,7,528,2,61,0.27185185185185184,565,24,0.04247787610619469,0.7142857142857143,0,0,
20,45,3549,5,18,528,6,61,0.5422222222222223,565,24,0.04247787610619469,0.35,5,1,
18,34,3549,1,12,528,6,61,0.34234234234234234,374,18,0.0481283422459893,0.7222222222222222,0,1,
21,34,3549,1,12,528,7,61,0.4166666666666667,374,18,0.0481283422459893,0.7619047619047619,0,1,
26,34,3549,1,10,528,5,61,0.8265765765765766,374,18,0.0481283422459893,0.34615384615384615,0,0,
