F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,
10,10,MT_CORRECTNESS,0.007588075880758808,JLM_JSR166_UTILCONCURRENT_MONITORENTER,8,2,1,0.004627487274409995,0.004627487274409995,4.6274872744099955E-4,
10,10,STYLE,0.012466124661246613,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,13,2,2,0.004627487274409995,0.004627487274409995,9.254974548819991E-4,
10,10,STYLE,0.024932249322493227,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,20,3,2,0.004627487274409995,0.004627487274409995,9.254974548819991E-4,
10,10,STYLE,0.024932249322493227,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,20,3,2,0.004627487274409995,0.004627487274409995,9.254974548819991E-4,
10,10,STYLE,0.024932249322493227,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,20,3,2,0.004627487274409995,0.004627487274409995,9.254974548819991E-4,
10,10,BAD_PRACTICE,0.05365853658536585,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,16,2,1,0.004627487274409995,0.004627487274409995,4.6274872744099955E-4,
10,10,BAD_PRACTICE,0.05365853658536585,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,16,2,1,0.004627487274409995,0.004627487274409995,4.6274872744099955E-4,
10,10,BAD_PRACTICE,0.05365853658536585,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,16,2,1,0.004627487274409995,0.004627487274409995,4.6274872744099955E-4,
10,10,BAD_PRACTICE,0.05365853658536585,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,16,2,1,0.004627487274409995,0.004627487274409995,4.6274872744099955E-4,
10,10,MT_CORRECTNESS,0.007588075880758808,JLM_JSR166_UTILCONCURRENT_MONITORENTER,8,2,1,0.004627487274409995,0.004627487274409995,4.6274872744099955E-4,
114,0,BAD_PRACTICE,0.004878048780487805,SE_BAD_FIELD,19,3,0,0.052753354928273946,0.0,0.0,
114,0,BAD_PRACTICE,0.004878048780487805,SE_BAD_FIELD,19,3,0,0.052753354928273946,0.0,0.0,
5,2,STYLE,0.030894308943089432,REC_CATCH_EXCEPTION,20,3,1,0.0023137436372049976,9.254974548819991E-4,4.6274872744099955E-4,
0,0,BAD_PRACTICE,0.004878048780487805,SE_BAD_FIELD,19,3,0,0.0,0.0,0.0,
5,1,PERFORMANCE,0.03143631436314363,SIC_INNER_SHOULD_BE_STATIC,18,2,0,0.0023137436372049976,4.6274872744099955E-4,0.0,
16,2,STYLE,0.08075880758807588,DLS_DEAD_LOCAL_STORE,15,1,1,0.007403979639055993,9.254974548819991E-4,4.6274872744099955E-4,
16,0,BAD_PRACTICE,0.004878048780487805,SE_BAD_FIELD,19,3,0,0.007403979639055993,0.0,0.0,
16,0,BAD_PRACTICE,0.004878048780487805,SE_BAD_FIELD,19,3,0,0.007403979639055993,0.0,0.0,
16,3,CORRECTNESS,0.003794037940379404,NP_NULL_ON_SOME_PATH,6,1,1,0.007403979639055993,0.0013882461823229986,4.6274872744099955E-4,
16,3,CORRECTNESS,0.015718157181571817,RV_RETURN_VALUE_IGNORED,8,3,2,0.007403979639055993,0.0013882461823229986,9.254974548819991E-4,
16,3,STYLE,0.0016260162601626016,UC_USELESS_CONDITION,19,3,2,0.007403979639055993,0.0013882461823229986,9.254974548819991E-4,
