F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-CommandType,F16-List<String>,F16-String[],F16-XAResource[],F16-NA,F16-void,F16-byte[],F16-int,F16-InternalMessage,F16-Color,F16-boolean,F16-String,F16-MessageMetaData_0_10,F16-ConstantExpression,F16-InitialDirContext,F16-ManagedObject,F16-Reader,F16-BigDecimal,F16-Message,F16-HttpURLConnection,F3-NA,F3-Integer,F3-Class,F3-Long,F3-Destination,F3-Map<String Object>,F3-Session.AUTO_ACKNOWLEDGE,F3-TimeUnit,F3-InputStream,F3-null,F3-byte[],F3-boolean,F3-MarkableDataInput,F3-getTaskExecutor().getExecutor(),F3-SimplePropertyValue,F3-String,F3-long,F3-State.DELETED,F3-int,F3-String[],F7--,F7-/,F7-++,F7-+=,F7-&,F7-NA,F7-+,F12-long,F12-int,F12-BigInteger,F12-NA,F12-boolean,F12-Logger,F12-UnsignedShort[],F12-Map<String ConfiguredObjectRecord>,F12-String,F12-CountDownLatch,F12-Comparator<Map>[],F12-Outcome[],F12-byte,F12-ConfiguredObjectRecord,F12-JMSException,F12-AtomicInteger,F12-UUID,F12-AtomicReference<Notification>,F12-TestCommand,F12-UnsignedByte[],F17-final,F17-static,F17-static-final,F17-NA,F2-Class,F2-StringBuilder,F2-FileOutputStream,F2-SelectorParserTokenManager,F2-NA,F2-Map<String Object>,F2-AbstractQueueTestBase,F2-SimpleCharStream,F2-Buffer,F2-Object,F2-Connection,F2-String,F2-URLConnection,F2-ConnectionEndpoint,F2-CountDownLatch,F2-ByteBuffer,F2-System,F2-Boolean,F2-File,F2-PlainPasswordFilePrincipalDatabaseTest,F6-org.apache.qpid.filter.selector.Token,F6-java.io.BufferedWriter,F6-org.apache.qpid.disttest.client.property.SimplePropertyValue,F6-NA,F6-java.lang.Long,F6-java.io.FileWriter,F6-org.apache.qpid.test.client.destination.AMQAnyDestination,F6-java.io.InputStreamReader,F6-org.apache.qpid.server.security.auth.UsernamePrincipal,F6-java.util.HashMap<java.lang.String java.lang.Object>,F6-java.util.Properties,F6-java.lang.Integer,F6-java.io.File,F6-java.lang.String,F6-java.lang.Boolean,F6-java.lang.StringBuilder,F6-java.util.concurrent.CountDownLatch,F6-java.lang.Double,F6-java.io.BufferedReader,F6-org.apache.qpid.test.unit.client.connection.AMQConnection,F13-private,F13-NA,F13-public,F13-protected,F18-private,F18-NA,F18-public,F14-static-final,F14-NA,F14-final,F1-readByte,F1-createConsumer,F1-getTestName,F1-ReInit,F1-delete,F1-NA,F1-setState,F1-immediateFuture,F1-hasRemaining,F1-assertEquals,F1-write,F1-createSession,F1-listFiles,F1-toLowerCase,F1-getAbsolutePath,F1-put,F1-writeObject,F1-createTempFile,F1-readUnsignedShort,F1-readAMQShortString,F5-java.util.AbstractMap,F5-java.lang.Object,F5-NA,F5-java.io.Writer,F5-java.io.OutputStreamWriter,F5-AMQMethodBodyImpl,F5-java.io.FilterOutputStream,F5-java.util.Hashtable,F5-java.io.InputStreamReader,F5-java.lang.Number,F5-java.lang.Throwable,F5-java.io.Reader,F5-java.util.AbstractList,F5-java.lang.RuntimeException,F5-java.lang.AbstractStringBuilder,F5-javax.management.MBeanFeatureInfo,F5-java.io.OutputStream,F5-java.io.DataInputStream,F5-java.util.AbstractSet,F5-java.util.HashMap,F9-branchId,F9-name,F9-data,F9-records,F9-NA,F9-appId,F9-globalId,F9-response,F9-userId,F9-type,F9-_major,F9-_minor,F10-NA,F10-true,F19-NA,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-SaslServer,F4-boolean,F4-InputStream,F4-File[],F4-ByteBuffer,F4-long,F4-UUID,F4-Statement,F4-XATopicConnection,F4-KeyStore,F4-Connection,F4-byte[],F4-Object,F4-File,F4-void,F4-String,F4-int,F4-ServerMessage,F4-OutputStream,F8-AMQPProtocolVersionWrapper,F8-Command,F8-SessionDetach,F8-MessageProperties,F8-Payload,F8-Xid,F8-NA,F8-SessionDetached,F8-ConnectionStartOk,F8-DurableConfigurationStoreStub,F8-SessionAttached,F8-SessionAttach,F11-_underlying,F11-NA,F11-TYPE_CODES,F11-EXTERNAL_AUTHENTICATION_PROVIDER,F11-_exception,F11-_lastUse,F11-ACCEPTED,F11-TEST1_VIRTUALHOST,F11-_key,F11-_rollOnRestart,F11-_fileName,F11-CLASS_ID,F11-_connection,F11-QPID_MAX_SIZE,F11-cachedValues,F11-DEFAULT_LOG_WAIT,F11-_isFirst,F11-METHOD_ID,F11-LOGGER,F11-UTF8_CHARSET,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-rhs@apache.org,F71-astitcher@apache.org,F71-aidan@apache.org,F71-orudyy@apache.org,F71-gsim@apache.org,F71-rupertlssmith@apache.org,F71-arnaudsimon@apache.org,F71-macbean@apache.org,F71-rgreig@apache.org,F71-vinoski@apache.org,F71-rgodfrey@apache.org,F71-philharveyonline@apache.org,F71-kwall@apache.org,F71-marnie@apache.org,F71-kpvdr@apache.org,F71-rajith@apache.org,F71-wprice@apache.org,F71-ritchiem@apache.org,F71-robbie@apache.org,F71-grkvlt@apache.org,F74,F73,F84,F146,category
3196,org/apache/qpid/framing,org/apache/qpid/framing/MethodRegistry.java,639,true,0,63,6827,1,19,1415,1,136,0.07079646017699115,453,27,0.059602649006622516,1.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,BAD_PRACTICE,0.004415011037527594,SE_BAD_FIELD,19,3,0,0.05368814192343604,0.0,0.0,0.0,0.0,0.0,0.11971830985915492,0.22049559888677103,-1.0,0.0,0.018763796909492272,1385.5281690140846,-0.6521739130434783,0.0,3,1333,639,3196,224,0.016530495914877447,23,529,-305,776,0.0058610161909488576,424,217,67,708,40,207,40,0.017933627219465814,87,13419,7,2755,495,0,16669,10664,0.01970869618530272,90,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1951,7773,39,1900,open
3196,org/apache/qpid/framing,org/apache/qpid/framing/MethodRegistry.java,639,true,0,63,6827,1,19,1415,1,136,0.07079646017699115,453,27,0.059602649006622516,1.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,BAD_PRACTICE,0.004415011037527594,SE_BAD_FIELD,19,3,0,0.05368814192343604,0.0,0.0,0.0,0.0,0.0,0.11971830985915492,0.22049559888677103,-1.0,0.0,0.018763796909492272,1385.5281690140846,-0.6521739130434783,0.0,3,1333,639,3196,224,0.016530495914877447,23,529,-305,776,0.0058610161909488576,424,217,67,708,40,207,40,0.017933627219465814,87,13419,7,2755,495,0,16669,10664,0.01970869618530272,90,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1951,7773,39,1900,open
2617,org/apache/qpid,org/apache/qpid/AMQException.java,327,true,13,9,196,1,0,44,1,18,0.9402985074626866,60,58,0.9666666666666667,1.0,9,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,STYLE,0.02924944812362031,REC_CATCH_EXCEPTION,20,3,1,0.002334267040149393,9.337068160597573E-4,4.6685340802987864E-4,-1.0,0.16981132075471697,0.004405482378070488,0.19409937888198758,0.1983117923895596,-0.660377358490566,0.0,0.06898454746136866,1109.804347826087,-1.0,-1.0,8,4217,2428,6080,0,0.0,0,0,0,0,0.0,148,89,9,246,0,59,0,0.11336639105511126,0,924,0,259,34,0,1217,665,0.030503478179281125,529,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,2390,7773,39,1900,open
7773,org/apache/qpid/protocol,org/apache/qpid/protocol/AMQConstant.java,3206,true,0,5,98,1,4,21,1,6,0.1894273127753304,66,125,1.893939393939394,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BAD_PRACTICE,0.004415011037527594,SE_BAD_FIELD,19,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.11971830985915492,0.22049559888677103,-1.0,0.0,0.018763796909492272,1385.5281690140846,0.0,0.0,19,5910,3206,7773,0,0.0,0,0,0,0,0.0,102,35,2,139,0,67,0,0.03321415154584327,0,296,0,85,5,0,386,211,0.023238340670113194,752,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,2613,7773,245,2106,open
6079,org/apache/qpid,org/apache/qpid/AMQExceptionTest.java,2428,true,0,5,196,2,9,44,1,18,0.957983193277311,55,47,0.8545454545454545,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,PERFORMANCE,0.033112582781456956,SIC_INNER_SHOULD_BE_STATIC,18,2,0,0.002334267040149393,4.6685340802987864E-4,0.0,0.0,0.1,0.005000000000000001,0.17228464419475656,0.13441430093673498,-0.7666666666666667,0.0,0.025386313465783666,1086.314606741573,-1.0,-1.0,6,4216,2428,6079,0,0.0,0,0,0,0,0.0,121,1,0,122,0,120,0,0.20714856145290347,0,924,0,259,34,0,1217,665,0.030503478179281125,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1900,7773,39,1900,open
3951,org/apache/qpid/amqp_1_0/codec,org/apache/qpid/amqp_1_0/codec/AbstractDescribedTypeWriter.java,1182,true,88,13,2477,3,21,370,27,145,0.39893617021276595,135,20,0.14814814814814814,0.31691919191919193,11,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,STYLE,0.012141280353200883,SF_SWITCH_FALLTHROUGH,17,2,2,0.020074696545284782,9.337068160597573E-4,9.337068160597573E-4,-1.0,0.045454545454545456,0.0013558884297520662,0.19409937888198758,0.1983117923895596,-0.8636363636363636,0.0,0.06898454746136866,1109.804347826087,-1.0,-1.0,3,2088,1182,3951,0,0.006844595525747623,0,5387,-5387,5387,0.002558715509453086,0,149,149,298,149,-149,0,0.05173617584328886,149,967,0,5392,4640,-149,10999,-4425,0.008415432261936504,137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1998,7773,39,1900,open
3951,org/apache/qpid/amqp_1_0/codec,org/apache/qpid/amqp_1_0/codec/AbstractDescribedTypeWriter.java,1182,true,44,13,2477,3,22,370,14,145,0.324468085106383,135,20,0.14814814814814814,0.5777376033057852,11,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,STYLE,0.016004415011037526,SF_SWITCH_NO_DEFAULT,19,2,2,0.020074696545284782,9.337068160597573E-4,9.337068160597573E-4,-1.0,0.0,0.0,0.19409937888198758,0.1983117923895596,-0.9655172413793104,0.0,0.06898454746136866,1109.804347826087,-1.0,-1.0,3,2088,1182,3951,0,0.006844595525747623,0,5387,-5387,5387,0.002558715509453086,0,149,149,298,149,-149,0,0.05173617584328886,149,967,0,5392,4640,-149,10999,-4425,0.008415432261936504,137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1998,7773,39,1900,open
3951,org/apache/qpid/amqp_1_0/codec,org/apache/qpid/amqp_1_0/codec/ArrayTypeConstructor.java,1182,true,24,4,2477,3,12,370,6,145,0.5398230088495575,75,18,0.24,0.7916666666666666,19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,STYLE,0.016004415011037526,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,1,0.020074696545284782,4.6685340802987864E-4,4.6685340802987864E-4,-1.0,0.3103448275862069,0.006688466111771701,0.19409937888198758,0.1983117923895596,-0.3793103448275862,0.0,0.06898454746136866,1109.804347826087,-1.0,-1.0,3,2088,1182,3951,0,0.003721014657167491,0,5387,-5387,5387,0.002558715509453086,0,82,82,164,82,-82,0,0.021811845528097125,82,967,0,5392,4640,-82,10999,-4425,0.008415432261936504,137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1998,7773,39,1900,open
3951,org/apache/qpid/amqp_1_0/codec,org/apache/qpid/amqp_1_0/codec/ArrayWriter.java,1182,true,3,7,2477,2,8,370,1,145,0.4878048780487805,42,21,0.5,0.6666666666666666,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,STYLE,0.09271523178807947,DLS_DEAD_LOCAL_STORE,17,2,1,0.020074696545284782,0.0014005602240896359,4.6685340802987864E-4,-1.0,0.25,0.005859375,0.19409937888198758,0.1983117923895596,-0.35714285714285715,0.0,0.06898454746136866,1109.804347826087,-1.0,-1.0,3,2088,1182,3951,0,0.0025761547500677937,0,5387,-5387,5387,0.002558715509453086,0,57,57,114,57,-57,0,0.014102825576472746,57,967,0,5392,4640,-57,10999,-4425,0.008415432261936504,137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1998,7773,39,1900,open
3951,org/apache/qpid/amqp_1_0/codec,org/apache/qpid/amqp_1_0/codec/ArrayWriter.java,1182,true,0,7,2477,2,4,370,1,145,0.5975609756097561,42,21,0.5,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,PERFORMANCE,0.0027593818984547464,URF_UNREAD_FIELD,20,3,0,0.020074696545284782,0.0014005602240896359,0.0,0.0,0.0,0.0,0.17228464419475656,0.13441430093673498,-1.0,0.0,0.025386313465783666,1086.314606741573,-1.0,-1.0,3,2088,1182,3951,0,0.0025761547500677937,0,5387,-5387,5387,0.002558715509453086,0,57,57,114,57,-57,0,0.014102825576472746,57,967,0,5392,4640,-57,10999,-4425,0.008415432261936504,137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1998,7773,39,1900,open
