F61,F77,F88,F70,
3,1333,639,3196,
3,1333,639,3196,
8,4217,2428,6080,
19,5910,3206,7773,
6,4216,2428,6079,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
5,2088,1182,3951,
5,2088,1182,3951,
2,2088,1182,3951,
2,2088,1182,3951,
2,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
2,2088,1182,3951,
2,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
4,2088,1182,3951,
4,2088,1182,3951,
3,2088,1182,3951,
6,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
8,2088,1182,3951,
8,2088,1182,3951,
8,2088,1182,3951,
8,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
29,1632,835,3495,
32,2088,1182,3951,
32,2088,1182,3951,
15,1055,445,2918,
29,1632,835,3495,
32,2088,1182,3951,
18,1168,497,3031,
32,2088,1182,3951,
32,2088,1182,3951,
32,2088,1182,3951,
32,2088,1182,3951,
29,1632,835,3495,
0,3,6,1866,
32,2088,1182,3951,
32,2088,1182,3951,
32,2088,1182,3951,
32,2088,1182,3951,
32,2088,1182,3951,
32,2088,1182,3951,
28,1584,814,3447,
11,831,344,2694,
32,2088,1182,3951,
10,2088,1182,3951,
10,2088,1182,3951,
9,2088,1182,3951,
9,2088,1182,3951,
7,1769,984,3632,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
6,2088,1182,3951,
3,2088,1182,3951,
17,2088,1182,3951,
17,2088,1182,3951,
17,2088,1182,3951,
17,2088,1182,3951,
3,2088,1182,3951,
4,2088,1182,3951,
4,2088,1182,3951,
4,2088,1182,3951,
4,2088,1182,3951,
4,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
2,2088,1182,3951,
2,2088,1182,3951,
2,2088,1182,3951,
2,2088,1182,3951,
2,2088,1182,3951,
2,2088,1182,3951,
2,2088,1182,3951,
2,2088,1182,3951,
2,2088,1182,3951,
2,2088,1182,3951,
4,2088,1182,3951,
4,2088,1182,3951,
4,2088,1182,3951,
4,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
4,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
4,2088,1182,3951,
3,2088,1182,3951,
2,2088,1182,3951,
4,2088,1182,3951,
4,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
3,2088,1182,3951,
2,2088,1182,3951,
2,2088,1182,3951,
2,2088,1182,3951,
